latitude,longitude,value
44.4316,146.1735,5.7
41.0405,142.2113,5.1
20.1768,121.4269,5.8
15.3906,119.3948,5.6
10.1278,160.5616,5.7
18.0900, 71.0006,5.0
 0.1212, 97.5742,5.5
44.1704,129.0144,6.0
33.5258,137.1447,5.0
10.2946,160.4620,7.8
36.2187,141.0174,5.0
18.4620,104.0624,7.6
 8.4842,118.3144,5.1
52.1452,170.1518,5.1
39.3000, 39.5268,6.0
41.0348,143.1557,5.1
 6.2172,154.3672,5.4
 2.4380,101.1176,5.3
43.1008,147.5088,5.7
21.0071,121.3670,5.1
 6.0066,149.4752,6.3
 3.3912,144.1452,6.1
43.5382, 85.5538,5.2
16.2694,173.1932,5.5
28.0276, 56.4908,5.4
12.1026,123.5526,5.6
12.1008,124.0474,6.2
37.2414,141.0895,5.3
53.3870,164.3858,6.6
44.0714,141.5083,6.0
39.3660, 77.1380,6.3
39.2898, 77.2358,5.3
 1.4194,134.1878,5.7
15.3468,121.5502,5.0
37.4126,141.4701,5.8
 3.1392,130.5364,5.4
23.3624,175.4878,5.8
 6.4920,130.5910,5.4
 4.4164,153.1428,6.8
39.2172, 77.2556,5.7
27.1994,127.0705,5.4
26.3336,110.3522,6.5
36.0541,139.5134,5.1
 0.2436,132.5706,6.1
 3.5496,134.2022,5.8
52.1494,160.2322,5.8
51.1632,177.5868,6.7
52.1956,160.1836,5.3
51.1770,177.5826,5.8
41.3145,135.4450,5.2
 9.2328,156.3522,5.9
52.0792,160.4656,5.1
52.1242,160.4296,5.3
19.1272,167.3834,5.0
10.1266,117.1110,5.3
15.3042,179.5082,5.3
35.4857,122.3466,6.7
29.5589,139.1900,5.3
 8.1764,120.4458,6.1
12.3108, 92.3384,5.3
 7.0984,155.4092,5.5
15.1944,173.3048,6.0
43.0654, 15.2784,5.3
 7.4776,129.0138,5.3
 3.1014,127.3252,6.0
39.3102, 77.2022,5.0
 6.1098,151.2574,6.1
36.2241,141.5740,5.7
40.5764,142.2051,5.7
37.3174, 96.2856,6.3
55.5520,163.2082,5.1
48.4584,154.5946,5.7
 4.0408,135.1698,5.4
12.3672,144.0114,5.1
 7.0120,103.4098,5.7
43.3169,147.4100,6.6
39.0042, 40.2784,6.4
15.0858,173.4482,6.1
30.3186,178.1392,6.5
39.2580, 77.1314,5.6
30.3522,178.1740,6.1
 3.4290,127.5724,5.7
 3.2694,150.4950,5.7
35.5213,140.0514,5.1
17.1722,167.4464,6.4
18.1596, 58.3798,6.5
 5.2166,129.5016,5.2
36.5784,  3.3804,6.9
42.5676, 72.4584,5.2
11.5412,124.0606,5.1
14.2568, 53.4878,5.4
 2.2124,128.5130,7.1
17.3876, 66.0696,5.9
 2.5484,142.2166,5.2
28.1796,142.4966,5.8
28.0915,130.1886,5.0
 2.5622,130.1158,5.4
 5.0570,152.3012,6.8
24.2896,121.4579,5.7
24.3099,121.4827,5.0
23.3460,121.4126,6.3
13.1020,120.3084,5.1
51.3312,176.5538,6.4
36.5049,141.1574,5.3
23.3896,121.3867,5.5
71.0732,  7.3462,5.0
40.4890,143.2400,5.3
30.3648, 71.3822,6.8
51.2634,176.4698,7.0
12.1518,123.5100,5.7
 3.1950,146.0888,6.3
11.5958,143.4248,5.0
12.4818,124.5388,5.8
42.2230,144.5723,6.0
21.1668,174.3132,5.7
76.2232, 23.1692,5.1
40.2670, 26.0144,5.6
42.2643,145.0680,5.5
 4.5574,145.1380,5.0
29.4603,130.0621,5.4
28.2130, 54.1014,5.5
28.1776, 54.0798,5.5
 9.2022,122.0264,5.5
54.3900,134.2820,5.7
38.1728, 38.5778,5.3
 3.4968,152.1044,6.5
 2.3588, 68.2292,7.6
18.0060,119.4158,5.2
25.5850,101.1740,6.0
 6.4068, 93.3606,5.5
 0.2700,123.3876,5.3
15.2496,166.0852,5.7
15.3552, 13.2106,5.2
 4.1758,145.0102,5.0
10.4176,164.5940,5.0
 1.3168,149.4164,6.5
38.2607,141.0985,5.5
38.2430,141.1026,6.1
38.2739,141.0988,5.0
38.3002,141.1137,5.1
38.0114, 28.5562,5.2
22.5124, 92.1836,5.5
46.4917,139.0886,6.9
38.2750,141.0898,5.1
23.5903,122.2724,5.0
32.5034,141.1981,5.2
56.0678,153.1938,5.3
60.3192, 43.2466,7.5
44.5245,149.4324,5.1
43.2035,147.1589,5.8
 1.0852,128.0912,5.6
39.0960, 20.3630,6.2
38.4956, 20.3438,5.2
43.4620,119.3858,5.1
20.2174,121.5999,5.8
29.3438, 95.3630,5.3
11.2418,166.1296,5.0
45.0624,167.0864,7.5
 2.1530, 96.3174,5.0
68.4134,148.0228,5.2
17.2718,167.5322,5.1
17.0960, 70.4044,5.2
11.1728, 57.3450,5.2
13.0972,145.2010,5.2
41.4894,142.4026,5.2
10.3216,146.2112,5.1
43.1789,132.5728,6.1
12.0924,122.1908,5.4
38.3594, 75.1950,5.6
15.1374,173.1338,6.6
45.1164,167.0648,5.2
57.2514, 25.3834,5.3
 5.3810,102.0714,5.1
22.2592,172.0570,6.2
22.2832,172.0738,6.4
15.4842,167.0546,5.9
 2.0492, 96.4908,5.5
 8.1230,156.0954,5.9
 5.1638,151.3012,5.6
44.1974, 11.2700,5.2
56.0372,111.1530,5.7
43.4900,147.5387,5.7
35.1313,140.1802,5.3
19.5502, 95.4032,6.9
35.2463,135.2238,5.8
41.4671,144.0471,7.9
41.4590,143.4735,5.7
41.4420,143.5951,5.1
41.4228,143.4737,5.8
41.4509,144.2392,5.7
41.4259,143.4149,7.3
42.0357,143.4380,5.4
41.5816,144.3356,6.0
41.4190,143.5167,5.5
42.1118,144.4823,5.3
46.0580,143.0771,5.7
42.1133,144.4658,6.4
42.0155,144.4368,6.2
42.4411,144.2051,5.4
50.0126, 87.4932,7.5
42.1983,144.2233,5.3
50.0372, 87.4482,6.6
28.5568,128.1074,5.4
42.1146,142.5814,5.4
42.1171,144.4364,5.5
44.4279,150.3524,5.8
42.1606,143.1923,5.0
42.3623,144.4871,5.3
41.5261,145.3200,6.0
42.0166,144.5682,5.2
42.1006,144.5075,5.2
42.2158,144.3318,6.3
42.2396,144.0331,5.6
42.0499,144.2886,5.9
41.3442,144.1163,5.6
41.3631,144.1244,5.7
41.5933,144.5929,5.1
30.1902,177.2562,6.5
30.2964,177.1080,6.0
30.1488,177.2910,5.4
50.1266, 87.4326,7.1
41.5774,145.0459,5.5
42.0350,144.3317,5.5
