latitude,longitude,value
51.2009,178.0709,5.9
26.2408,144.4454,5.8
 2.1548,126.4548,6.2
23.1278,121.3586,5.7
30.3435,131.0987,6.4
13.2016,166.5251,6.4
35.5523,140.2594,5.2
19.1222,168.4468,5.7
10.1967,119.0913,5.9
10.2489,119.0099,6.4
40.1684,142.1965,5.6
35.0039,141.0733,5.3
23.4168,122.2239,5.4
21.4649,120.3154,5.2
 2.5077,100.0446,6.3
19.2331,145.4216,6.6
45.2623,151.4113,5.0
45.3640,151.3364,5.1
45.3223,151.3688,5.1
25.2663,124.4972,5.1
42.4597,142.0020,5.6
44.3820,148.1625,5.0
42.0048,146.5172,6.0
32.0143,177.5307,6.4
22.3427,121.3301,5.4
10.2304,126.0036,5.7
43.5211,148.2003,5.6
36.4573,142.2438,5.8
33.4806,134.5481,5.2
 1.3961,126.2373,5.7
32.0918,132.0931,5.3
32.0989,132.0903,5.3
50.2971,159.5658,5.8
30.3538,131.0935,5.2
52.1021,178.0425,6.3
22.4749,121.2269,5.6
22.5207,121.2112,5.1
30.2386,139.0054,5.9
26.1840,129.3433,5.5
40.2175,143.2429,6.2
24.5595,128.0931,5.1
25.5806,141.2456,5.6
 1.4888,122.3479,6.8
26.1628,129.3397,5.1
42.2912,144.4909,5.0
24.0065,121.3087,6.2
40.3298,143.5081,5.4
42.3361,142.5277,5.5
43.1064,146.2562,5.2
31.4714,131.5951,5.7
31.4807,131.5847,6.2
 4.0306,152.3580,7.8
43.3629,147.5017,5.3
29.4463,130.4116,5.7
21.3971,169.4667,6.3
21.3644,169.2815,6.3
51.1847,178.1432,5.7
23.3796,142.2258,6.3
29.0337,139.3975,6.4
22.4849,121.3600,5.6
45.1747,150.1453,5.1
21.1084,174.1014,6.0
30.3865,178.0597,7.0
31.0002,178.0491,6.3
38.3648,139.2876,6.5
34.5573,139.5781,5.3
 2.4654,138.3405,6.3
56.1212,164.1396,6.1
30.2377,179.1092,6.3
19.3681,144.3837,6.9
22.2033,122.2439,5.8
41.0891,142.1696,5.2
35.4617,117.3596,7.2
 0.3076,126.1135,6.8
47.0449,145.1682,5.6
23.5420,122.5387,5.1
29.1414,128.1072,6.1
 5.5824,149.2929,6.2
25.0960,124.1897,5.1
35.0887,140.3414,5.0
20.5557,121.5190,5.4
20.5055,121.5423,6.0
20.5426,122.0079,5.8
33.0966,137.2387,6.3
32.5476,140.4661,5.8
34.1418, 72.1861,6.4
 7.1693,104.4744,6.5
37.4243,141.3797,6.3
24.2245,121.5219,5.9
40.4752,141.2036,5.5
28.0240,130.5511,5.4
11.2210,166.1747,5.8
24.2195,124.4240,5.1
37.2328,142.2514,5.2
60.1291, 26.3481,6.7
40.5884,143.0168,6.0
46.3655,152.5357,6.0
41.3433,142.0420,5.2
44.0928,148.0117,6.0
30.1040,177.5175,6.0
35.2855, 73.0978,6.7
28.0756,128.0492,5.0
34.4046,140.3892,5.4
44.2331,146.5594,5.3
 6.4288,125.0042,6.3
23.5847,122.2917,5.3
 6.4540,125.0049,6.5
 6.5459,125.1069,6.5
55.4410, 26.1439,6.1
18.3448,175.1632,6.7
40.1658,143.4967,5.3
 1.3728,126.2494,7.0
 1.3217,126.2497,5.7
19.2720,101.2135,6.2
31.5622,131.5470,5.2
43.3706,147.1073,5.3
39.0759,143.0202,5.4
51.1120,178.0601,5.9
18.3025, 70.3456,5.6
43.1365,147.4858,5.5
45.1912,150.3006,5.6
30.4655,141.5819,5.8
37.4372,141.4801,5.3
 6.4181,125.1043,6.8
27.1833,128.2591,5.2
46.4195,153.1412,5.3
40.3079,142.1071,5.2
33.0084,142.1953,5.3
27.5068,142.3139,5.1
