latitude,longitude,value
33.374 ,136.503,6.4
36.271 ,141.146,5.7
36.269 ,141.158,5.9
29.085 ,130.392,5.5
42.144 ,143.098,5.4
34.030 ,135.431,5.4
29.160 ,130.255,5.1
38.341 ,143.282,5.6
34.115 ,140.109,5.0
35.353 ,139.062,5.4
34.063 ,137.126,5.1
40.374 ,144.040,5.0
43.198 ,146.114,5.6
29.206 ,139.121,6.3
42.320 ,142.554,5.5
40.240 ,139.053,5.1
38.195 ,135.431,5.1
36.430 ,141.354,5.2
42.553 ,145.279,5.7
34.511 ,143.244,5.0
32.436 ,135.525,5.4
44.233 ,148.541,6.9
37.194 ,141.404,5.5
36.280 ,141.145,5.1
45.079 ,149.317,5.8
46.304 ,141.197,5.1
44.593 ,149.379,5.8
35.072 ,138.350,5.1
36.264 ,141.129,5.1
40.162 ,142.566,5.6
47.040 ,147.291,6.5
30.522 ,138.502,6.3
36.407 ,142.133,5.2
37.297 ,141.378,5.5
33.214 ,140.348,5.2
28.442 ,128.356,5.5
34.578 ,134.354,5.8
34.567 ,134.372,5.1
43.474 ,147.325,5.4
31.265 ,139.473,5.0
42.365 ,142.289,5.2
34.456 ,132.350,5.6
41.292 ,141.574,5.3
36.089 ,139.515,5.0
28.041 ,129.360,6.0
32.230 ,132.092,7.0
30.004 ,131.222,5.0
33.439 ,141.083,5.1
27.191 ,128.465,5.3
44.208 ,150.150,5.9
44.267 ,150.046,5.6
39.484 ,143.508,5.3
35.495 ,137.334,6.4
35.504 ,137.354,5.1
35.485 ,137.297,5.0
35.473 ,137.280,6.0
35.472 ,137.291,5.5
35.479 ,137.302,5.2
34.033 ,141.329,6.6
34.025 ,141.310,5.2
34.071 ,141.311,5.5
34.016 ,141.429,5.6
34.090 ,141.278,5.1
34.043 ,141.315,5.6
40.073 ,142.281,5.4
35.497 ,137.369,5.4
44.592 ,152.092,6.2
28.062 ,139.363,5.3
37.168 ,141.402,5.3
37.431 ,141.528,5.5
40.048 ,142.545,5.1
37.061 ,141.370,5.1
37.364 ,142.364,5.1
43.551 ,148.109,6.6
44.234 ,149.238,5.5
44.264 ,149.347,6.3
44.192 ,149.363,6.1
44.191 ,149.292,5.5
40.235 ,139.090,5.2
40.223 ,139.062,5.4
44.141 ,149.176,5.3
44.070 ,149.316,5.3
44.174 ,149.274,5.2
37.086 ,141.339,5.5
44.172 ,149.357,5.6
44.212 ,149.348,5.5
34.057 ,141.302,5.4
