latitude,longitude,value
40.1728, 72.5910,5.4
 5.5268,146.5304,6.1
 2.4692,101.0192,5.9
51.1560,130.4512,6.5
51.1188,179.3600,5.2
32.1728, 85.0996,6.4
43.4698,127.1656,5.9
17.0288,120.5934,5.4
32.1986, 85.0948,5.8
25.1900,140.3581,5.6
32.2094, 85.1572,5.2
 6.0156,146.3714,5.5
 7.1812,127.4128,5.7
 6.0792,129.3900,5.4
 6.0390,149.5238,5.3
20.0996, 70.0222,6.2
 9.2790,138.1284,5.3
 0.1416,125.0504,5.5
60.4782, 25.3516,6.5
 3.0048,101.1260,5.2
 8.0948,128.3864,6.1
36.3006, 21.4020,6.6
36.2070, 21.5178,6.0
23.1575,121.3033,5.2
 2.2604, 99.5676,5.2
 2.4608, 95.5784,7.5
36.1728, 21.4650,6.1
77.0480, 18.3438,5.9
44.2827,148.4747,6.0
41.0918,114.5202,5.8
33.4115,140.4268,5.1
 2.0876,138.5772,5.3
 2.1938, 99.5280,5.6
20.5958,174.3162,5.1
 2.3066, 99.5772,5.3
 2.2058, 99.5724,5.1
 2.2430, 99.5586,6.4
 2.2916, 99.5832,7.3
 2.1992, 99.5346,6.4
 2.1470, 99.4848,6.6
 3.5136,101.0360,5.9
26.5259,142.4430,5.8
12.4080,141.4596,5.2
46.0136,151.4541,5.2
20.1536, 69.5646,5.1
51.5154,179.1878,5.6
 2.1080, 99.4938,6.1
46.1283,153.4446,6.6
20.1442,121.2480,6.4
 4.2802,101.2712,5.0
23.0007,120.5014,5.5
 2.1410, 99.4746,5.1
36.2715,140.3670,5.2
31.4581,131.5518,5.2
43.0071,146.3402,5.7
47.3396,154.0966,5.0
22.1524,175.0234,5.5
27.0629,143.0935,5.6
 2.4206, 94.3546,5.9
29.1512,177.2640,6.1
35.2940, 81.2802,7.3
44.0342, 81.5922,5.1
43.5875,148.2232,5.4
37.0721,141.2681,5.3
46.1689,153.2597,5.5
34.4548, 25.2070,5.2
20.0044,121.5702,5.3
13.1716,125.4068,5.2
 2.5130, 95.1776,6.5
20.1204,122.1254,5.2
 4.5274, 69.1434,5.3
20.0027,121.3503,5.0
15.1686,172.5016,5.2
36.0720,139.4969,5.0
44.0569,148.0147,5.9
20.1050,168.5166,6.3
20.0426,168.5352,7.3
19.5982,168.5244,6.2
16.0594,144.5748,5.1
16.1044,144.5310,5.1
16.1230,144.5454,5.0
20.2496,168.4818,5.6
20.2424,168.4908,5.9
55.3984,158.2718,7.1
43.3520,147.3364,6.1
18.4176,175.5754,5.5
51.5124,179.2148,6.4
18.3654,175.4194,6.3
 0.4974,126.0486,5.4
39.0251,140.1407,6.0
15.5310,144.5268,5.2
26.5822,143.1017,5.1
27.3168,176.3480,5.6
 7.4890,125.4164,5.8
20.1638,168.4776,6.2
 7.5250,125.4332,5.6
 7.5100,125.4110,5.1
33.4231,141.0593,5.4
 3.5160,131.2676,5.3
22.5539,121.4880,5.5
20.0354,168.4320,5.3
49.0546,164.0702,5.9
24.5165,125.0456,5.1
58.4434, 24.4284,5.9
19.5646,168.5718,6.2
20.1428,168.4944,5.7
41.2778,142.0650,5.6
19.2826,168.5268,5.2
51.5184,177.3168,6.8
37.1407,141.3967,5.1
 6.3840,155.0546,5.4
46.3821,153.1061,5.0
36.1517,141.5283,5.0
36.1387,141.5692,6.1
36.1708,141.4243,5.2
36.1648,141.5873,5.6
36.1369,141.3646,6.3
36.1159,141.5855,5.4
43.2544,145.5030,5.4
23.5724,122.2596,5.5
31.0012,103.1932,8.1
31.1284,103.3708,6.1
31.2478,103.5334,5.5
24.0246,122.3066,5.0
30.5340,103.1164,5.6
 4.4056, 95.0534,5.1
31.1950,103.3108,5.4
57.5466, 25.2898,5.7
31.2130,103.2106,5.4
32.1440,104.5892,5.6
 3.1086,101.2358,5.4
42.2843,132.2887,5.9
 1.3840, 99.0882,6.0
 3.1086,101.2850,5.2
 4.0774,101.1632,5.2
 7.1086,156.0414,5.5
32.3420,105.2544,6.0
55.5436,153.3048,6.0
45.0011,149.1122,5.7
32.4260,105.3240,5.2
20.0054,168.4578,5.2
64.0024, 21.0072,6.2
30.4706,141.5991,5.5
40.0376,142.4329,5.3
20.0417,121.3036,6.3
 4.3444,129.3000,5.1
24.4991,121.4486,5.2
41.3159,139.1328,5.6
22.3414,175.0612,5.0
37.5778, 21.3150,6.3
33.1092, 91.5766,5.0
12.4566,144.5724,5.3
39.0179,140.5284,6.6
38.5318,140.4038,5.4
38.5983,140.5038,5.1
36.0360, 21.4920,5.3
 8.5184,157.4824,5.5
67.4188,141.1656,5.6
46.3461,153.3313,6.0
 1.2064, 97.1146,5.5
41.4954,142.4036,5.3
20.4608,173.2052,5.8
11.0030, 91.4944,6.7
10.5364, 91.4662,5.8
10.5082, 91.4272,6.0
51.5544,169.5544,5.0
44.5907,137.2573,5.7
58.1320, 22.0600,6.7
10.2208, 75.3072,5.0
58.0726, 21.5292,5.1
36.3856,140.5712,5.3
45.2044,151.3195,6.1
25.2754,176.2106,5.3
45.2371,151.1735,6.5
27.4501,141.4395,5.1
27.2790,128.3283,6.0
 2.5658,147.4926,5.3
21.0074,121.1674,5.6
20.5808,121.0594,6.0
 2.1362, 96.3300,5.5
16.3594,172.5778,5.4
45.1968,151.0872,5.4
44.2226,129.2502,5.3
37.3125,142.1587,6.4
11.0246,164.2958,6.4
11.0396,164.3696,5.9
 3.4752,150.5376,5.1
27.4995,139.5973,5.5
37.4310,142.5021,5.7
37.0819,142.2047,6.3
37.4134,142.2211,5.7
39.4392,141.3812,6.6
50.5802,157.3504,6.0
32.4482,105.3252,5.4
10.3468,163.0618,5.8
33.5718,117.4566,5.5
 2.4020,152.3954,5.1
32.0216,104.4332,5.6
29.1778,130.2189,5.1
32.4536,105.2964,6.0
 8.0786,117.3990,5.5
52.1140,175.3906,5.5
 3.5652,101.0456,5.5
41.0856,142.1708,5.2
21.4402,121.3221,5.6
11.0252, 91.4878,6.1
10.5682, 91.4266,5.4
83.3300,114.3096,5.2
43.3968,147.3841,6.1
12.5382,124.1914,5.6
14.5490,173.1476,5.4
15.0522,173.2856,5.9
12.5700,124.1914,5.0
25.0264, 97.4104,5.9
17.4614, 65.2364,5.7
36.2651,140.3692,5.4
10.1842,125.1512,5.7
39.4290,176.5106,5.1
30.5406, 83.3120,6.5
 6.2028,104.2814,5.4
51.3642,104.0948,6.2
46.3719,153.0436,6.4
32.1848, 47.2100,5.5
50.1002,129.3774,5.6
26.1632,101.5622,5.8
26.1392,101.5820,5.2
15.1566,176.2478,5.6
29.4433,139.5219,5.3
32.4083,137.1773,5.2
19.5784,169.0648,5.8
24.3945,122.3761,5.6
 9.1632,158.1566,5.6
26.4458, 55.4968,6.0
20.1572, 69.1344,5.3
41.4653,144.0909,6.8
41.4589,144.1316,5.4
41.4312,144.1512,5.3
42.2332,144.4436,5.3
56.1836,164.0534,5.7
29.0108,129.5142,5.0
 8.4380,126.5226,5.5
 8.4674,126.5064,5.4
45.5651,143.3821,5.6
11.1110,164.2886,5.1
41.3228,140.3393,5.2
22.4254, 12.4584,5.0
30.4980, 83.2826,5.8
40.2943,142.5527,5.2
13.2904,120.3246,5.6
71.1950,  3.5292,5.1
29.4536,177.4098,6.7
30.0765,139.1807,5.4
13.2202,120.2664,5.3
