latitude,longitude,value
15.028 ,172.542,6.4
32.275 ,139.045,5.2
 8.450 ,106.316,5.6
10.404 , 93.011,5.5
15.547 , 74.170,5.2
41.336 ,142.018,5.3
52.041 ,169.259,5.7
52.011 ,169.218,5.3
11.352 , 95.015,5.1
39.363 ,143.416,6.0
39.384 ,143.415,5.7
35.068 ,135.585,5.1
37.460 , 90.536,6.1
44.267 ,151.065,5.6
44.304 ,151.145,5.7
29.391 ,177.252,5.9
30.049 ,177.382,5.6
29.599 ,177.424,5.9
35.492 , 52.555,5.6
40.078 ,142.276,5.4
14.349 ,119.273,5.7
42.565 ,145.269,5.7
34.303 ,136.264,5.1
18.233 ,176.557,5.8
 5.188 ,151.101,5.6
10.146 ,110.187,5.5
 9.415 ,124.425,6.6
42.176 ,172.480,6.1
36.243 ,141.010,5.4
 5.158 ,151.216,5.2
29.333 ,130.452,5.6
15.508 ,147.076,5.8
40.180 ,176.027,6.3
15.247 ,166.178,6.8
34.458 ,139.138,6.4
46.041 ,153.540,5.6
11.305 , 66.206,5.6
10.343 ,165.116,5.1
53.186 ,160.085,5.5
22.025 ,175.094,7.5
28.523 , 66.209,6.1
18.080 ,167.569,7.1
36.510 , 73.005,6.0
11.179 ,117.293,5.1
33.256 ,138.438,5.5
51.235 ,174.580,6.1
27.361 ,142.254,5.5
29.318 ,131.283,5.3
43.377 ,147.363,5.4
 9.533 , 84.531,7.0
37.010 , 72.575,6.7
 9.149 ,125.331,5.5
39.223 , 73.185,5.2
42.452 ,147.064,5.8
42.455 ,147.035,5.3
32.344 , 71.582,5.5
11.238 , 86.233,6.4
15.136 ,147.317,7.5
60.305 , 25.292,5.7
21.469 ,174.095,6.4
15.125 ,147.336,6.2
25.353 ,176.066,5.3
36.177 ,142.035,5.2
44.225 ,148.342,5.3
25.395 ,176.060,5.9
42.288 ,144.097,5.7
30.388 ,177.451,5.5
35.312 ,135.383,6.4
27.193 ,140.251,5.6
39.259 , 74.181,6.1
57.572 , 10.244,5.2
 1.097 ,122.503,7.4
 1.171 ,123.031,6.2
 1.169 ,123.034,5.6
 1.070 ,123.290,6.1
36.572 , 73.152,5.7
47.256 ,139.360,5.9
35.577 ,100.136,6.9
 1.034 ,122.455,5.7
40.052 ,142.527,5.1
54.190 ,  1.150,5.3
 7.194 , 94.211,5.2
49.161 ,155.406,5.3
36.262 ,140.366,5.6
41.591 ,131.017,6.3
49.158 ,142.134,7.2
40.156 ,176.085,6.5
 1.068 ,123.468,5.7
36.071 ,100.079,5.2
37.031 ,137.061,5.6
39.312 ,143.401,5.3
26.404 ,127.539,5.1
40.129 ,143.285,5.5
 5.025 , 32.065,7.2
43.255 ,147.299,5.7
53.348 ,163.293,5.2
 8.067 ,109.040,5.3
 2.591 ,130.125,5.5
 1.197 ,123.213,5.2
74.154 ,  8.412,5.4
43.313 ,147.153,5.1
56.583 ,153.311,5.7
 6.020 , 77.160,6.4
 6.014 , 77.098,5.1
35.387 ,140.436,5.9
35.334 ,139.116,5.3
 3.337 ,144.296,6.5
16.018 ,176.552,5.2
17.329 , 71.507,5.4
 9.280 ,138.117,5.0
18.119 ,147.139,5.0
11.196 ,122.103,7.0
11.380 ,121.525,5.6
47.535 , 85.072,6.8
47.530 , 85.089,5.1
11.163 ,122.141,5.2
