latitude,longitude,value
 4.2748,101.2568,5.6
31.5338,142.0698,5.8
19.0942,168.1866,6.4
23.4342,143.4947,6.3
27.0457,140.1044,6.2
20.3768,168.2826,7.1
 2.2964, 96.1752,5.6
 2.2394, 96.1710,5.3
 5.0180,102.3882,5.9
 2.3774, 96.2382,5.9
19.1224,173.3060,5.8
35.1105,141.2447,5.0
30.0384,177.5700,5.0
 2.1230, 96.4974,5.9
28.1164, 59.0078,6.2
70.5616,  6.4074,6.1
21.4096,143.1877,5.7
27.1172,143.4696,5.3
24.0912,121.4555,5.2
10.3732, 94.0654,5.1
54.5844,160.2790,5.6
23.0503,144.0881,5.8
29.1243,130.1845,5.2
34.5132,140.3719,5.2
 8.1644,104.0444,5.2
27.2504,143.2676,5.6
25.0592,141.3919,5.7
37.0951,141.2456,5.6
 1.5958,126.4998,5.3
35.2280, 72.5004,6.6
21.1121,121.0611,6.0
38.2028,143.2621,5.4
38.2173,143.2365,5.4
25.5800,128.2510,5.0
14.0990,166.2826,5.3
44.4765,150.0642,5.9
55.5508,162.0702,5.9
26.2137,128.5706,5.0
38.1166,143.2865,5.0
22.3397,144.1460,6.2
31.2735,140.4015,5.8
38.1027,143.3213,5.6
37.1822,141.5062,5.4
36.0938,137.2728,5.2
46.1782,152.2721,5.7
45.5256,151.2061,5.3
 8.5598,157.1416,5.2
10.2094,160.4596,6.6
29.0532,129.2748,5.3
38.1971,143.1679,7.3
38.2142,143.1892,5.7
38.3615,143.0787,5.5
38.3733,143.1668,5.4
38.3639,143.1493,6.2
38.2625,142.5647,5.7
38.1239,143.3415,5.6
38.3825,143.0877,5.3
38.3591,143.1012,5.2
38.3277,143.0913,5.2
38.1627,142.5273,6.0
38.2877,143.2597,5.8
38.0797,143.1312,6.4
38.1033,143.0269,6.4
 5.5910,149.4662,6.5
38.2349,143.2445,5.1
38.3402,143.3211,5.6
38.3547,143.2747,5.2
38.3115,143.1845,5.1
38.0372,143.3624,5.6
38.0621,142.5166,8.4
37.4134,141.5603,6.5
39.0269,142.2388,6.7
39.4924,142.4601,7.4
37.1365,141.3872,6.3
36.0725,141.1515,7.7
39.0121,142.2469,6.3
37.5486,144.4506,7.5
39.1999,142.0427,5.6
38.2313,142.1603,5.5
40.0657,142.3708,6.1
35.4912,141.1090,5.7
38.5908,142.2567,6.2
37.4912,142.5156,6.1
36.3343,142.0248,6.7
38.0385,144.3010,7.3
36.5345,141.5243,6.2
39.0135,142.1867,6.8
37.2188,141.1559,6.1
37.5864,142.4505,6.2
39.1525,142.4841,6.1
38.2726,142.1730,5.6
36.1806,141.5408,5.7
37.0644,142.1958,5.6
36.3330,141.5802,5.6
37.4012,141.4106,5.9
37.0293,142.3412,6.3
36.2121,141.5707,5.3
37.1561,142.0660,6.1
37.5296,142.3448,5.7
36.0344,141.4254,5.4
36.3293,141.2318,6.0
36.0940,141.4294,6.4
37.2805,141.2263,5.9
39.1208,142.5733,6.1
36.0413,141.0799,5.4
37.2544,141.1639,6.1
36.1622,142.0526,5.9
36.4632,141.5688,5.3
36.3304,140.5736,5.2
37.5426,140.2056,5.0
36.3373,140.5724,5.0
38.1780,142.1158,5.6
36.0193,141.4644,5.4
39.2983,142.4523,6.0
39.3555,143.1560,5.7
38.0566,142.3830,5.5
36.4500,141.4809,5.8
36.1389,140.5281,5.0
36.3923,142.1792,5.1
39.2005,142.0915,6.0
36.5449,142.1725,5.6
37.2073,141.5433,5.9
37.0421,141.2057,5.4
37.4335,141.4380,5.8
39.1015,142.5760,5.3
38.0696,142.4192,5.4
37.2910,142.3026,5.5
35.4384,142.0688,5.3
36.3765,141.4251,5.5
35.4769,141.1200,5.3
39.1589,143.1740,5.7
38.1091,140.2937,5.2
39.0424,143.1619,5.7
39.1381,142.3472,6.8
36.4179,142.2706,5.9
39.1634,142.1867,6.0
37.1351,142.1308,6.4
39.0750,142.2432,6.1
36.2761,141.5243,5.2
36.1216,141.5163,5.2
38.0403,142.4544,5.9
36.1458,141.4571,5.4
38.3021,142.0872,5.7
37.4761,142.0287,5.7
36.0890,141.5483,5.5
37.1888,141.5561,5.7
36.2560,141.5060,6.0
36.1711,141.5579,5.5
39.0132,144.1349,5.9
37.3994,141.4334,5.7
36.4110,141.5022,5.4
36.0888,140.5275,5.3
37.3029,141.5975,5.6
39.4137,143.2635,5.3
36.0037,142.0825,5.8
35.5829,141.3422,5.8
36.2265,141.3152,5.3
36.0322,142.0009,6.2
36.2500,141.5465,6.2
37.1844,142.1040,5.5
38.5513,142.4275,5.3
36.0779,141.5414,5.8
37.3154,142.1618,5.3
39.3397,143.3627,6.1
37.4551,143.1262,5.1
39.0285,142.2526,5.4
35.2421,142.0168,5.9
36.0715,141.5545,5.0
37.2471,141.1859,5.4
37.1024,142.0156,6.1
36.1546,141.4823,5.5
36.5224,141.0927,5.6
36.5916,138.3587,6.3
39.2120,142.5626,6.9
36.1718,140.5688,5.4
35.4555,141.0246,5.4
36.5693,138.3435,5.6
37.2940,141.3996,5.6
40.2365,139.0534,6.2
38.5831,142.4532,6.1
35.5749,141.3977,5.5
37.0495,141.5314,5.5
36.5684,141.1342,5.4
37.4818,142.4360,5.8
39.0114,142.4229,6.0
37.1658,142.3152,5.7
39.2702,142.4708,5.5
37.5618,144.3833,5.5
36.2936,142.3230,5.1
39.0072,142.4161,5.4
37.2587,141.5284,5.3
36.2988,141.2880,5.5
38.2770,142.1907,5.3
36.0971,141.5594,5.6
37.5868,142.5397,5.8
36.1982,141.5265,5.2
38.4997,142.5334,5.6
37.2200,141.4951,5.1
37.2856,142.4524,6.5
37.2606,142.3894,5.7
37.5133,143.0012,5.2
39.2293,143.0016,5.1
36.4463,141.3677,5.4
40.0125,142.4490,5.1
37.3534,143.3514,5.7
39.3401,142.5327,6.3
35.5897,141.3663,5.5
37.5796,144.2881,5.6
35.5576,141.2673,5.0
38.4415,142.1000,5.8
40.0377,143.3336,5.7
36.1971,141.5767,5.1
38.1157,144.2437,5.9
39.0949,142.4228,5.4
39.4184,143.4604,5.2
36.0329,141.3840,5.0
38.1050,142.5178,5.6
37.0179,143.2175,5.5
38.2707,143.3284,5.9
37.0102,143.0855,5.5
37.3153,144.2272,5.1
38.5988,142.3226,5.7
35.5253,141.5149,5.5
37.4558,142.4530,5.9
37.1185,141.2558,6.2
39.3162,142.3789,5.5
