latitude,longitude,value
29.2763,140.2012,5.6
35.2539,141.1270,5.1
21.4647,143.2544,5.5
18.2231, 96.0430,6.0
15.4605, 74.4255,7.1
27.2025,142.1587,5.0
44.4552,149.2381,5.0
56.0023,149.0995,7.8
26.4002,140.2704,5.6
41.0058,142.2688,6.4
55.3254,166.2698,6.2
 3.3083,145.5086,6.3
24.0702,121.4224,6.2
24.0955,121.4340,5.6
24.0569,121.4372,5.0
27.0646,140.4063,5.3
24.0525,121.4066,6.3
24.0501,121.4205,5.3
23.5928,121.4347,5.5
24.0288,121.4584,5.7
13.4923,146.2626,5.7
32.5428,132.0974,5.2
32.5358,132.0890,5.2
23.2425,121.3029,5.1
37.3228,141.4576,5.6
 6.0419,142.4522,7.7
24.2286,121.5297,5.2
 6.3031,143.1530,6.4
 6.1018,142.2809,6.1
24.1491,123.4925,5.2
44.3698,148.1039,5.5
 6.1986,142.3596,5.9
 6.1826,142.3670,6.9
45.4573,152.2727,5.8
29.2163,142.1509,5.2
 4.2257,153.1198,6.7
45.2333,150.0211,5.1
35.1923,141.0512,5.1
38.5281,142.0464,5.0
 5.2975,151.2983,6.4
32.3856,140.5328,5.7
 5.3014,151.2415,6.6
23.4408,142.5542,5.3
 5.3193,151.2999,7.0
36.2651,140.3721,5.3
 5.5029,142.3188,6.3
35.1108,132.3520,5.7
43.3906,139.3537,5.2
43.1055,145.4427,5.4
23.4677,142.4993,5.4
35.3360,141.0626,5.2
26.3121,141.2081,5.2
43.1433,145.4951,5.5
23.5655,122.1988,5.2
46.2729,152.3405,5.6
31.1619,140.0830,5.3
39.3572,141.0968,5.1
36.3795,137.5406,5.0
40.0357,142.4111,5.0
35.4299,140.4388,5.4
42.4351,145.2823,5.8
34.3532,178.2486,5.9
36.5645,138.3538,5.0
43.3946,148.0536,5.5
31.1135,131.3357,5.5
34.5066,135.3730,5.6
17.4743,168.0341,6.1
46.3575,145.0159,5.6
41.1175,142.4205,5.0
51.2996,157.5042,5.6
35.0992,140.3552,5.9
54.2658,160.4785,5.7
 6.0683,148.4381,5.8
44.3911,148.1990,5.0
25.1979,130.2203,5.3
 8.1437,116.3048,6.4
45.4950,151.4883,5.1
37.0936,141.1376,5.5
 8.1549,116.2625,6.6
37.5494,143.5635,5.6
48.1482,155.0654,6.1
69.3371,145.1799,6.6
69.3123,144.2161,5.9
51.2540,178.0157,6.5
23.4195,143.1306,6.4
23.3661,143.2841,5.7
 8.2020,116.3596,6.3
 8.1914,116.3763,6.9
16.0189,168.0857,6.2
43.3382,127.4300,5.9
51.2100,177.4562,6.2
41.0564,142.3751,5.1
27.5975,140.1936,5.1
52.0569,171.0748,5.6
44.2262,149.3988,5.4
10.4638,124.1123,5.9
22.0177,170.0757,6.8
28.0190,140.1317,5.6
36.2855,141.2024,5.4
42.4145,142.0040,6.6
42.3470,141.5650,5.0
42.4097,142.0071,5.4
 7.1426,126.2867,5.9
21.5928,170.0950,6.2
41.1488,142.2251,5.0
26.4309,129.4153,5.7
26.4231,129.4081,5.4
26.4029,129.4065,5.7
26.4108,129.3901,5.3
26.3741,129.3569,5.6
38.2827,141.3596,5.1
45.1338,150.3767,5.1
26.4295,129.4104,5.4
48.0405,155.2062,5.3
 0.2405,119.4623,5.9
 0.1535,119.5077,7.4
42.3556,141.5790,5.1
26.4610,140.4633,5.7
 7.2715,114.2732,5.7
 5.4207,151.1228,6.8
49.1741,156.1781,6.6
35.4471,140.4131,5.3
46.3698,147.0328,5.3
49.1552,129.2474,6.4
23.5730,122.3575,5.8
23.5813,122.3616,5.7
38.1676,141.4868,5.7
37.3122, 20.3339,6.9
44.3153,145.3939,5.7
31.4673,140.4115,5.5
33.4178,135.1175,5.4
47.0858,147.0656,6.0
44.3650,145.4839,6.0
20.2723,174.0049,6.0
10.3230,163.1006,6.0
30.2408,130.0900,5.5
34.2165, 45.4466,6.2
41.2021,143.1336,5.5
61.2078,149.5731,7.0
21.5698,169.2560,7.5
37.0189,141.2069,5.0
33.1446,138.0553,5.2
26.3217,140.4245,5.9
23.4362,121.5520,5.1
55.0599,164.4196,7.3
13.2400,166.4891,5.8
34.0345,141.3378,5.6
34.0393,141.4581,5.6
33.5705,141.4369,5.3
43.5132,148.1784,5.9
42.1968,143.0682,5.3
54.2560,161.3079,5.8
37.2058,141.3362,5.1
