latitude,longitude,value
27.2481,140.5775,5.2
 0.1524, 97.5754,5.2
55.4530,156.0366,5.5
 8.0462, 92.2622,6.2
39.4818, 70.1866,6.0
59.2220,136.5220,5.3
 3.3930,127.1698,5.8
43.1748,147.1339,5.8
46.5627,155.0313,8.2
34.5629,138.5358,5.5
23.5976,122.2674,5.3
41.1086,142.4285,5.1
57.5466, 64.3168,5.1
10.0798, 58.4224,5.7
 5.2928,101.2724,5.5
 9.5958,109.4032,5.3
55.2514, 29.3198,6.2
 1.0390,126.1692,7.3
 1.0360,126.2070,5.9
 1.0246,125.5094,5.0
 3.1926,146.2100,5.6
46.1821,153.2775,5.6
 1.0114,125.5826,5.3
22.4353,122.0698,6.1
34.0346,141.4705,5.0
 1.1692,126.1212,5.2
54.4440,146.1788,6.9
21.1342,145.2417,6.8
29.4656,178.0012,6.3
37.4128, 91.4608,5.1
46.2864,153.0444,5.4
20.3654,175.3900,5.6
20.4068,175.2922,5.4
46.3155,153.2784,5.7
38.2340, 39.0258,5.1
 4.5862,144.5862,5.5
35.4776, 10.2004,5.8
 5.3366,126.0018,5.7
 0.2694, 97.1944,5.7
41.4391,143.4336,6.5
41.4225,143.4406,5.3
 7.1896,155.5148,5.5
 7.1878,155.4560,5.3
20.1236,173.0528,5.5
 1.0204,126.5862,6.6
 1.0192,126.5850,5.8
11.1404,118.5562,5.0
38.1908, 39.1602,5.5
46.3720,152.5424,6.1
29.0780,177.0798,5.5
15.5796,167.3138,5.1
55.1470, 29.0852,6.1
46.4323,153.1065,6.2
 0.0042,126.4836,5.1
 0.2880,100.3288,6.3
 1.5730, 97.5448,5.6
24.0234,122.2525,5.3
29.5215,140.5363,6.4
43.0087,134.1739,6.2
11.2568, 66.1530,5.6
55.1362,161.5472,5.4
43.4032,147.4625,6.3
28.5052,177.0036,5.3
45.5348,151.5507,5.5
 8.0768,117.5178,5.3
 1.0792,126.1296,5.8
42.0335,144.1058,5.7
 4.3510, 78.3012,5.7
 3.2328, 86.4650,5.7
19.4332, 70.0852,5.2
20.3702,169.2142,7.0
37.1324,136.4116,6.6
37.1826,136.5037,5.6
37.1001,136.2936,5.4
44.3895,146.1989,5.6
43.5722,146.1928,5.6
14.3744,177.4596,5.3
32.2464,137.5454,5.7
 8.2760,157.0264,7.9
 7.1044,156.0306,5.3
 7.1350,156.1458,5.8
 8.4236,157.3720,6.1
 8.4488,157.3840,5.6
 8.3300,157.3168,5.2
 8.3702,157.2316,6.0
 7.5142,155.4806,6.0
 7.0390,155.1458,5.6
20.3798,168.5964,6.0
 7.4656,156.2970,6.3
31.0170,141.5765,5.6
44.1601,149.1380,5.2
44.1577,149.1290,5.4
 8.2196,157.0222,5.1
 6.5694,155.4626,5.5
 2.5496, 95.4200,6.1
48.1824,154.4170,5.4
12.5940, 92.3150,5.2
46.2770,153.5284,5.8
46.3598,153.2207,5.4
33.4052,141.0330,5.6
34.4747,136.2446,5.3
46.5048,153.5217,6.1
27.2827,142.0831,5.0
42.4024,141.5680,5.6
25.4432,125.0426,5.7
25.4487,125.0821,6.0
25.4133,125.0317,5.6
