latitude,longitude,value
20.1908,174.2118,5.8
 0.4374,119.5586,7.6
53.4956,159.3516,6.6
 0.4782,120.0396,5.0
44.2846,149.5042,5.3
54.0240,159.1620,5.0
10.4032,161.1488,5.1
 6.5688,155.5178,5.4
53.1824,142.4428,5.3
24.1904,122.1180,5.1
43.4218, 85.3924,5.2
 6.0726,133.3504,5.6
 0.2838,119.3420,5.3
23.1182,170.4620,5.5
 5.4938,130.1404,5.4
10.2544, 78.4632,5.1
 2.5754,141.3432,5.3
40.0720,142.2955,5.4
60.3690, 25.4386,6.0
 9.0828,126.2880,5.6
36.0751,135.2858,5.2
32.5826,178.1788,6.7
43.4357,149.1154,6.1
43.4820,149.2249,6.3
44.2073,146.2540,5.8
11.2616,141.3786,5.5
27.1746,100.1656,6.5
44.1380,149.2322,5.4
27.0300,100.2298,5.3
32.2076,179.3252,5.3
 6.1410,154.5196,5.2
27.1482,100.2508,5.0
 0.5814,120.0558,5.1
35.5610,136.3737,5.3
 0.5832,120.1368,5.6
55.1770,156.2298,5.1
44.5691,150.5097,7.0
 5.5982,146.3720,5.8
11.0954,118.3960,5.8
45.2354,151.0183,6.2
29.1489,141.1094,6.0
51.1494,179.2256,5.1
 1.2976, 15.1674,6.4
37.1857,142.3286,6.7
 0.5346,136.5712,8.1
 6.0960,154.4422,5.6
 0.3402,135.5040,6.5
 0.5502,136.1350,6.6
 0.4494,135.5298,5.7
 0.4212,136.3306,6.3
 1.2016,136.2784,6.3
 0.4830,136.4206,5.2
 1.1596, 14.1638,6.5
 0.3894,134.5298,5.5
42.0546, 75.0510,5.3
40.2657,142.2777,5.4
20.1848,169.0846,5.3
 9.3558, 79.3522,6.6
33.4032, 71.4026,5.5
44.3448,148.3031,6.2
 0.5412,137.2088,5.9
 0.5940,137.2040,5.2
16.1008, 97.5454,5.4
28.1920, 57.0546,5.2
14.0360,167.2646,5.6
44.4002,149.5252,5.5
51.4794, 40.2100,5.4
 5.5838,146.3390,6.1
 6.0372,146.3420,5.0
 0.4374,136.3378,5.7
11.3942, 86.5136,6.5
11.5430, 86.4632,6.7
56.3318,152.2124,5.0
36.2883,141.3902,5.4
24.1369,122.0134,5.9
24.1459,122.0390,5.8
35.2855,138.5686,5.6
 2.0594,124.3732,5.1
 1.1176,136.5178,5.3
43.1263,148.0089,6.4
12.5814, 69.2550,5.4
48.2652, 88.0858,5.3
 2.5430,126.3252,5.2
28.5348,139.2970,6.0
14.4230,167.1782,6.0
 6.1614,147.5424,6.0
 6.1020,147.4842,5.6
39.5958, 76.4176,6.0
15.5100, 97.1836,5.2
51.1326,178.4170,6.6
51.1614,178.5334,5.8
52.1908,168.4008,5.0
11.5514, 57.4830,5.6
52.1842,168.4668,5.4
52.1740,168.4572,5.0
10.2574,126.1116,5.4
52.1284,168.4404,6.2
44.2128,150.1432,5.5
44.0801,149.5582,5.9
11.1068,165.3864,6.1
 3.0390,126.1716,5.4
12.1062,143.5064,5.3
 3.0588,126.1308,5.1
53.2694, 76.2106,5.0
43.3559,149.1276,5.6
43.5613,149.3865,5.4
44.0134,149.3133,5.5
 6.1512,154.5148,5.5
10.4818,161.3258,5.8
 6.1836,154.5166,5.8
24.0366,177.0216,6.8
12.4896,124.5892,5.7
 4.3534,153.0576,5.0
23.5664, 70.0558,6.1
45.1733,150.3223,5.9
29.4376,129.1620,5.4
39.1276,141.2994,5.3
44.5489,150.1962,5.7
 6.3108,154.5994,7.5
 6.3954,154.5088,5.9
 6.4446,154.5370,6.0
 6.2640,154.3462,5.9
31.4406,131.5890,5.3
16.0780,120.3600,5.0
27.2425,128.1813,5.1
40.4644,109.3966,6.0
43.0483,146.4455,5.5
13.5076,146.1848,5.6
13.5172,146.1536,5.7
 1.3726,126.3348,5.9
43.2770,147.3165,6.3
32.3666,179.2304,5.0
80.3468,  2.1626,5.5
 3.1878,135.5136,5.7
 6.3630,155.0228,6.3
 7.0876,154.5154,5.3
33.1376,141.0203,5.2
