latitude,longitude,value
23.5664,122.1305,6.2
27.0399,142.0680,5.8
23.5990,122.1097,5.0
37.4970,101.1740,7.1
35.1360, 31.5661,6.5
 6.5160,105.1732,6.6
24.0637,122.1620,5.2
32.4297,132.0434,6.4
 3.4034,126.3958,5.8
53.1441,166.4092,6.1
24.1805,121.5716,5.0
26.4936,126.1690,5.6
23.5578,122.1755,5.5
38.1043,141.4287,5.2
26.5107,126.2031,5.6
 0.1314,100.0604,6.3
26.4861,126.2209,5.4
43.3798,147.4802,5.3
30.0451,177.4358,6.5
39.3361,143.3972,5.0
23.1420,121.2270,5.2
14.0576,119.2287,6.5
37.4086,141.3637,6.1
37.4180,141.3738,7.3
37.4768,141.4287,5.7
25.4912,123.5158,5.1
26.5039,126.1762,5.7
39.5942,142.0029,5.3
25.3405,123.5732,5.9
25.1786,176.1799,6.3
23.2395,121.2959,6.7
23.2683,121.3329,5.7
23.2349,121.2971,5.5
26.4966,126.3119,5.2
26.4861,126.1943,5.0
23.2346,121.3385,5.3
37.3217,141.2243,5.3
21.0960,122.0437,5.1
26.4782,126.2267,5.5
42.1916,143.0360,5.1
26.4810,126.2763,5.4
45.2812,150.4708,5.2
37.2062,141.3458,5.4
17.2834,167.5175,5.9
37.4804,141.3499,5.0
21.1254,120.3882,6.3
21.0554,120.1780,5.5
21.3793,120.5281,5.3
36.1530,141.2644,5.0
21.5336,120.5663,5.5
26.5152,126.2652,5.6
26.5344,126.3053,5.0
21.3225,120.5253,5.2
36.5263,140.2085,5.3
 7.1711,126.5720,6.0
 6.5812,126.5545,5.8
45.3203,152.4014,5.5
45.2850,152.4143,6.4
41.4513,143.4781,5.5
23.2773,123.1109,5.3
45.3667,152.4025,5.8
31.0353,138.4677,5.3
31.3551,131.4908,5.2
 6.3177,127.0789,5.9
26.5331,126.2980,5.4
26.5517,126.2497,5.5
23.5655,122.2975,6.3
23.5563,122.3366,5.1
34.3389,136.5863,5.2
33.2095,141.3076,5.6
33.1969,141.2742,5.3
19.4221,121.1035,5.4
33.1936,141.3398,5.5
40.5924,143.0981,5.2
33.1661,141.2822,5.6
23.2982,123.4389,5.0
54.0792,159.0327,6.6
36.4645,141.2422,5.4
33.1116,141.2552,6.0
41.1345,143.0582,5.6
22.4969,172.0779,6.7
 8.1543,127.1247,5.9
36.1486,140.5853,5.3
26.5018,126.2165,5.6
57.4343,148.4061,6.3
25.3811,123.2577,5.1
37.3820,141.3537,5.0
37.3092,137.1658,5.1
26.4857,126.2123,5.5
26.4926,126.2110,5.1
23.3810,121.3505,6.0
27.5693,142.4434,5.9
24.0340,122.2874,5.2
22.0045,120.1172,5.0
22.0106,120.1301,5.0
22.0893,120.2396,5.3
19.0142,121.2018,5.6
45.4914,142.1365,5.9
38.2475,141.5727,5.3
26.4724,126.2148,5.1
26.5019,126.1562,5.0
40.3300,141.2501,5.2
26.4762,126.2382,5.1
17.3124,120.4909,6.8
32.3477,142.2464,5.3
44.0283,148.5713,5.2
32.2975,142.3071,5.3
32.3584,142.2587,5.2
32.3664,142.2295,5.1
37.3671,141.3717,5.4
32.4386,142.2553,5.1
32.4235,142.2359,5.7
32.4904,142.2378,5.0
32.4213,142.2603,5.1
32.4757,142.2236,5.0
36.1507,141.0706,5.0
34.5212,135.5952,5.2
43.4381,147.4402,6.8
44.5090,142.0674,5.1
46.3506,144.4807,5.3
32.4417,179.0053,6.5
44.2213,149.2137,5.2
33.1471,141.5451,5.7
37.3610,141.3512,5.1
25.1093,123.3044,5.2
32.3367,142.2598,5.3
28.5517,130.3743,5.6
44.0717,148.4660,5.1
44.0895,148.4362,5.1
32.2643,142.2631,5.2
32.2372,142.2544,5.1
29.4072,102.1416,6.9
 2.1495,138.1187,6.2
 2.1388,138.1070,6.2
41.3458,142.0629,5.2
23.0697,121.1387,6.5
22.5736,121.0644,5.5
23.1684,121.2525,5.7
23.0965,121.1671,5.3
23.0726,121.1916,7.0
26.2068,125.5526,5.9
22.5976,121.1289,5.1
23.1272,121.2920,5.5
23.2577,121.2220,5.6
55.3025,166.1969,6.0
35.1678,141.1300,5.1
 3.4865, 96.0308,6.0
31.1877,131.3134,5.8
27.4034,126.5467,5.3
23.5565,122.1452,5.8
21.1935,120.5608,5.2
39.3663,143.3229,5.2
17.3965,120.4888,6.3
41.5946,144.5327,5.3
46.0104,152.3513,5.4
22.4823,121.1730,5.0
43.1485,146.5199,5.3
19.1729,172.0883,7.5
25.0447,128.5216,5.3
22.2386,120.4615,5.2
44.0118,147.4888,5.6
33.5040,137.2542,6.1
 4.5426,100.4717,7.2
29.1261,139.4550,5.2
 9.4919,159.3620,7.3
33.4606,141.2232,5.3
26.2422,129.1981,5.1
23.4639,121.3663,5.3
27.3609,129.2487,5.6
23.4799,121.5213,6.0
31.4738,131.3808,5.6
28.1197,139.0648,5.5
44.1722,148.5254,5.2
