latitude,longitude,value
36.1399,141.4257,5.1
18.3012,174.0402,5.5
49.4716,114.4662,5.0
44.0778,147.2555,5.9
52.0996,159.3756,5.1
26.5135,140.4169,5.9
 5.2526,151.4086,5.9
27.4964,139.2588,5.7
56.1398,147.2562,5.7
43.1002,147.3059,5.6
13.1392,145.3168,5.1
22.1620,170.2124,5.3
 4.3576,153.1410,6.4
38.3634,143.0695,6.0
30.3411,131.1740,6.3
21.0792,174.3954,5.9
26.2778, 74.2856,6.3
 4.2766, 75.4344,5.7
20.3090,174.1242,5.5
52.5316,169.0738,6.1
15.5154,179.4488,5.7
41.4044, 88.2778,5.3
43.0942, 46.5046,5.4
37.0768,141.3155,5.2
43.2074,146.5996,6.0
20.1830,174.2190,6.2
 6.1140,104.1332,5.6
11.2316,139.0108,5.3
 4.0198, 95.1698,5.4
46.4811,147.3994,6.2
12.5118,166.4182,7.3
34.1554, 69.2184,5.8
 6.5850,150.2424,5.2
44.3142,149.5231,6.1
 3.3348,144.4980,6.3
44.2221,149.5432,5.8
15.3042,167.5976,5.5
 4.5586, 95.5088,5.1
 2.0066,133.2898,5.4
21.0858, 70.0240,5.1
85.3438, 87.0222,5.0
21.2712,169.4092,6.4
24.0655,122.2924,5.7
 0.1200,119.3246,5.8
20.4824,174.0426,5.3
18.0318,146.3138,5.6
51.3624,104.5184,5.5
 2.5850,126.3168,5.3
35.4072,142.0780,5.3
27.3648,176.2916,5.4
28.2058, 57.1158,6.5
 5.2382,121.5622,6.5
 5.1530,122.1008,5.1
42.5761,145.5781,5.2
15.4596,179.3156,6.1
52.0774,159.2892,5.4
 9.0960,150.1140,5.0
41.0786,114.3948,5.2
12.0198,143.3870,5.0
 0.0204,124.1878,5.1
41.0125,143.1339,5.8
51.3522,177.4008,6.8
55.5376,110.1284,5.7
 7.0732,128.3948,5.4
29.3364,128.1910,5.6
36.2704,140.3693,5.0
 9.4092,112.4740,5.0
 3.5142,131.2580,5.5
30.3072, 79.2418,6.6
10.4128,161.2028,5.4
 3.5976, 87.1704,5.5
 4.2142,152.4242,6.1
19.5394,168.1158,6.0
16.3960, 72.3972,6.2
 5.3546,149.3408,7.0
 6.3162,147.0042,6.3
 6.2520,146.5676,5.2
43.3306,130.5940,7.2
 6.0000,148.2970,5.7
20.0216,168.3450,5.7
 6.2076,146.5856,5.5
 9.3006,150.4758,5.1
19.1488,155.2934,5.1
20.2748,168.4860,5.2
13.0738,145.0852,5.5
36.2736,140.3732,5.1
28.5010,131.0890,5.6
 1.0510,136.5460,5.1
29.3006, 51.5280,6.3
24.4648,121.4838,5.5
56.2496,152.5634,6.1
44.4627,151.3351,6.1
11.3948,166.1734,5.2
 5.0954,150.5280,6.8
 3.0408,129.4116,5.3
37.3174,118.4902,5.1
 4.4506,152.2916,7.0
 2.3852,138.1302,6.2
 5.0990,152.5262,6.9
 5.0234,152.3222,5.4
 5.0180,152.4584,5.8
20.4386,169.5286,5.7
 5.3606,152.3708,5.4
 3.4134, 90.0864,5.1
58.3912,137.1104,5.2
24.3660,122.2833,5.5
53.5154,164.0384,5.3
40.4812, 47.2688,5.0
32.2518,142.0264,5.0
 8.3516,125.5124,5.4
15.0240, 60.2526,5.3
19.1686,173.3342,5.5
 8.3552,125.5208,5.0
43.0164,146.1161,5.4
18.2316, 97.2616,6.5
17.0222,173.2172,5.2
14.5790,175.5124,5.5
 5.3084,126.3834,6.1
 8.1368,141.1806,5.1
19.2550,173.2286,5.0
18.1944,101.3234,5.8
 4.3048,133.5682,5.5
 3.4812,126.2082,5.0
30.0588, 69.2664,5.4
 9.2808,147.5124,5.4
47.0456,123.2778,5.5
26.3416,141.0942,6.2
43.2694,147.3483,5.6
49.1398,155.3354,5.6
24.5802, 70.3024,5.0
 6.3084,154.5664,6.2
30.0414, 69.2514,5.6
 5.3078,126.4254,5.1
18.1380,168.1068,5.1
28.3774,177.3648,6.2
33.3480,176.4230,5.0
27.1943,142.1096,5.4
 2.5874,150.2964,5.4
39.5626,144.4859,6.0
15.1206,173.1944,5.4
28.4140,177.3138,5.7
30.1710,178.0084,6.0
30.2202,177.4992,6.4
51.3120,176.1638,5.5
37.2340,117.0480,5.4
 3.2718, 79.0972,5.0
49.5598,156.1566,5.5
51.1374,178.0372,5.0
34.4746, 32.5634,5.4
 1.4296,122.2736,5.8
52.0564,169.2928,5.0
52.0222,169.3012,5.4
45.0523,148.3142,5.1
 5.5310,104.4266,5.7
 5.2376,152.3174,5.5
31.5199,138.1105,5.1
40.4488, 29.5184,7.8
 9.0264, 84.0954,6.9
21.2502,174.3150,5.1
20.2334,173.4542,5.7
58.1866, 13.1176,5.6
40.3054, 74.4536,5.8
16.0702,168.0234,6.2
13.0462,145.1896,5.0
41.4227,143.4477,5.2
 3.3132,145.3942,6.2
27.4806, 73.5142,5.3
 3.0618, 65.5130,5.6
38.0714, 23.3630,5.8
45.0880,150.3844,5.5
22.3427,122.0084,5.6
32.4986,178.1620,5.8
29.0086,142.4565,5.6
 3.3816,149.3090,5.3
40.4254, 30.0270,5.8
14.4236,166.4158,5.0
 6.2658,147.4794,5.1
 4.0168,103.1926,5.2
51.1242,157.3336,5.6
19.4278,169.1230,5.1
45.1106,153.4664,5.5
23.5262,120.5589,7.2
23.5029,120.5251,6.1
44.4638,149.5966,6.0
23.4103,120.5101,6.1
23.5032,121.0191,5.6
23.4035,121.0091,5.2
23.5098,120.5973,6.0
