latitude,longitude,value
49.106 ,156.278,5.1
 3.227 ,146.218,6.0
 3.275 ,146.202,6.2
14.596 ,167.549,6.5
 2.225 ,139.320,5.4
52.273 ,169.207,6.6
 0.108 ,126.151,5.0
34.156 ,103.161,5.5
39.502 ,141.466,6.3
13.254 ,166.260,5.1
42.322 ,142.557,6.2
 7.361 ,129.562,5.6
42.512 ,145.063,5.4
39.501 ,141.491,5.5
38.358 ,142.080,5.7
43.143 ,146.289,5.7
 1.388 ,126.356,5.3
41.311 , 79.176,5.8
 1.114 ,129.427,5.4
60.091 , 26.496,7.0
36.564 ,141.559,6.6
36.579 ,141.536,6.2
 5.490 ,147.478,6.0
 1.332 ,126.322,5.9
 5.566 ,147.471,7.4
 5.568 ,147.406,5.2
 5.589 ,147.379,5.4
 6.078 ,147.436,5.1
 6.016 ,147.525,5.7
42.254 ,147.276,5.7
 6.038 ,147.509,5.1
35.463 ,143.042,5.2
18.482 ,121.026,5.9
43.141 ,132.549,6.1
 0.412 ,126.143,6.5
36.373 ,141.036,5.3
36.519 ,141.331,5.0
 0.484 ,126.122,5.9
32.539 ,179.164,6.6
51.187 ,179.184,5.9
 6.067 ,147.476,5.2
57.573 , 25.389,5.8
 6.089 ,147.445,5.8
18.460 ,121.059,5.2
38.017 , 91.086,5.6
53.287 ,167.174,6.7
38.302 , 20.155,5.5
37.002 ,141.448,5.4
37.554 ,176.448,6.6
24.296 , 70.103,7.3
 0.088 , 77.499,6.9
24.139 , 70.062,5.5
24.122 , 70.044,N/A
16.013 ,167.235,5.5
18.317 , 72.091,5.6
36.574 ,141.495,5.9
40.367 ,145.301,6.2
40.352 ,145.288,6.2
40.387 ,145.252,5.6
 6.277 ,147.392,5.5
 6.283 ,147.413,6.1
 2.068 ,126.366,5.4
31.584 ,132.037,6.5
30.103 ,177.388,5.0
29.117 ,138.168,5.0
51.323 ,173.295,6.0
24.045 , 70.049,5.8
31.571 ,132.049,5.1
37.289 ,137.542,5.8
30.345 ,131.362,5.0
 5.181 ,152.362,5.2
17.085 ,167.490,5.5
37.182 ,141.518,6.9
 5.238 ,152.547,5.2
 1.119 ,128.274,6.1
52.510 ,168.178,5.1
36.074 ,139.523,5.0
 1.019 ,128.263,5.3
18.469 ,146.559,6.1
18.535 ,146.510,5.0
18.485 ,147.010,5.2
37.018 ,141.393,6.0
37.136 ,143.243,5.3
13.271 ,145.555,5.1
37.291 ,141.401,5.1
22.475 ,170.104,6.0
37.055 ,141.374,6.1
 2.157 , 99.011,6.6
31.538 ,139.556,5.5
37.459 ,142.503,5.9
27.237 , 56.042,5.3
 3.128 ,138.421,5.1
39.462 , 74.354,5.6
37.100 ,141.299,5.1
37.083 ,142.050,5.3
51.098 ,179.528,6.4
 5.428 ,152.426,6.1
46.349 ,139.561,6.9
34.088 ,135.243,5.4
11.176 ,165.440,5.3
36.123 ,141.594,5.5
37.330 ,142.011,5.0
38.518 ,142.080,5.8
 7.067 ,126.478,6.4
25.155 , 94.107,5.9
43.538 ,146.586,5.3
 2.102 ,100.060,6.0
29.545 ,139.308,5.1
30.199 , 71.353,6.1
21.036 ,174.253,5.2
63.529 , 19.451,5.8
38.134 ,142.283,5.7
35.002 ,135.316,5.0
 4.367 ,102.035,5.8
39.474 ,143.055,5.2
11.320 ,141.388,5.0
 5.220 ,127.325,5.7
 5.125 ,127.331,5.4
10.422 ,126.101,6.3
20.246 ,121.259,6.0
 6.241 ,148.533,6.1
60.266 , 27.463,6.2
43.523 ,150.129,5.7
43.585 ,150.102,5.6
10.228 ,126.011,6.0
10.215 ,126.169,5.6
39.039 ,143.422,5.4
17.155 ,121.162,5.9
17.437 ,144.518,5.1
54.104 ,162.325,6.2
21.148 ,173.344,6.3
41.279 ,143.507,5.2
37.101 ,142.076,5.7
 2.113 ,138.146,6.6
36.112 ,140.051,5.0
37.078 ,142.208,5.2
44.086 ,148.560,5.7
31.135 ,130.297,5.6
51.280 ,174.382,5.2
51.245 ,174.432,5.5
27.014 ,108.148,6.3
14.073 ,167.513,6.6
 4.222 ,125.019,5.1
45.356 ,149.529,5.6
55.033 ,165.370,6.2
36.554 ,143.057,5.9
49.050 ,149.192,5.7
29.099 ,130.570,5.3
33.062 ,138.169,5.5
56.155 ,153.363,5.3
41.212 ,141.399,5.2
32.301 ,131.517,5.0
21.133 ,144.095,5.2
19.116 , 70.084,6.9
16.044 ,146.538,5.6
43.230 ,147.274,5.5
36.518 ,141.488,5.0
28.089 , 70.533,6.1
37.275 ,143.267,5.2
49.158 ,156.175,5.5
49.119 ,156.143,5.6
39.201 , 54.446,5.5
43.316 ,147.446,5.5
39.282 ,144.521,5.9
30.283 ,140.173,5.7
 4.098 ,145.435,6.1
76.265 ,134.150,5.1
45.122 ,149.422,6.2
36.378 ,141.189,5.7
55.278 ,164.322,5.1
21.302 ,169.467,5.6
18.247 ,168.035,6.8
18.328 ,168.097,6.5
 2.193 ,127.022,5.0
27.233 ,140.205,5.2
37.180 ,141.439,5.9
55.338 ,161.403,5.4
17.541 ,172.173,7.3
52.546 ,159.597,6.3
44.354 ,150.065,5.9
43.246 ,142.152,5.3
19.368 ,173.104,6.1
 7.543 ,105.155,5.3
 7.173 ,154.232,6.8
 7.154 ,154.202,5.4
 6.219 ,129.176,5.5
 6.152 ,149.052,7.4
41.390 ,144.204,5.0
52.371 ,172.182,5.5
 2.235 ,138.245,7.0
12.074 ,144.086,5.1
28.250 ,176.481,5.4
28.408 ,177.250,5.8
43.182 ,146.087,5.7
 2.195 ,140.097,5.4
37.181 ,141.419,5.0
44.257 ,149.440,5.8
58.493 ,143.128,6.9
34.145 ,131.274,5.3
12.486 ,124.460,6.3
24.136 ,142.367,5.5
46.245 ,153.280,5.3
61.380 ,141.197,5.0
 8.175 ,124.087,6.5
16.197 ,168.054,6.3
16.221 ,168.061,6.3
 0.248 ,124.588,5.8
 0.071 ,124.588,5.0
58.407 ,142.472,7.6
13.381 ,167.246,6.3
13.344 ,167.273,6.4
29.404 ,140.398,6.2
30.221 ,138.326,5.0
44.195 ,147.356,5.8
35.225 ,140.296,6.5
23.122 ,121.024,5.3
28.103 , 56.359,5.5
41.217 , 89.394,5.1
39.429 ,143.364,5.0
 0.144 ,124.532,5.0
19.179 ,121.110,5.4
 6.282 ,148.572,5.7
