latitude,longitude,value
 4.077 ,129.337,5.5
21.594 ,174.533,6.3
38.581 ,142.315,5.4
28.589 , 52.064,5.3
38.541 ,142.358,5.2
38.360 ,142.566,5.8
38.539 ,142.341,5.4
50.452 ,138.588,6.3
42.552 ,144.212,6.9
30.461 , 90.181,5.7
38.374 ,133.519,6.6
 1.108 ,126.047,5.4
 8.194 ,121.244,5.4
 7.142 ,128.357,6.3
 7.059 ,128.405,5.0
54.305 ,161.369,5.1
23.016 ,101.037,5.6
42.127 , 86.076,5.1
29.191 ,176.565,5.4
13.365 ,123.041,5.3
12.299 ,141.538,5.2
12.336 ,141.580,5.0
12.325 ,141.519,5.7
56.315 , 25.269,5.4
37.394 ,137.178,6.3
 4.517 ,101.574,5.7
45.343 ,142.110,5.8
39.353 ,143.415,5.2
12.180 ,166.210,5.5
36.417 ,142.092,5.0
47.114 ,154.139,5.3
47.017 ,154.096,5.0
47.033 ,154.093,5.1
40.143 ,142.266,5.3
 8.194 ,122.176,5.2
13.197 ,174.594,5.8
13.169 ,174.523,5.6
13.126 ,175.007,5.0
37.088 , 21.265,5.0
28.425 ,113.064,5.8
38.405 ,143.181,5.2
10.575 ,164.115,7.2
10.599 ,163.552,6.0
10.482 ,164.140,5.0
26.299 ,177.227,6.7
11.049 ,163.232,6.6
37.416 ,141.451,5.0
38.181 ,143.431,5.3
59.307 , 25.424,6.1
59.438 , 25.367,5.6
59.407 , 25.443,6.4
 8.455 ,126.533,5.1
16.422 ,172.439,5.4
14.231 ,178.151,6.4
11.209 ,141.478,5.0
19.403 , 38.509,5.1
33.256 ,135.063,5.3
39.327 ,143.386,5.4
42.154 ,143.082,5.2
26.474 , 70.548,6.2
38.199 , 22.057,5.3
26.543 , 71.057,5.6
36.050 ,141.399,5.7
12.084 , 95.053,5.0
36.063 ,141.482,5.0
 1.336 , 99.016,5.4
29.050 , 87.200,6.0
45.128 ,150.542,6.0
52.127 ,172.553,5.1
41.422 ,143.416,5.7
45.021 ,122.364,5.4
13.224 ,120.280,5.6
17.229 ,171.563,5.6
59.451 , 26.044,6.2
59.473 , 26.145,5.7
