latitude,longitude,value
29.320 ,131.184,5.5
36.234 ,141.529,5.0
46.442 ,153.570,5.5
36.222 ,141.576,5.6
51.286 ,174.514,5.5
51.238 ,174.431,5.3
46.150 ,153.376,6.9
45.285 ,153.324,6.0
 3.130 ,130.349,6.5
46.271 ,153.482,5.5
45.131 ,153.082,6.4
45.334 ,153.343,6.4
45.166 ,153.258,6.3
41.288 ,141.571,5.0
 6.112 ,149.015,6.5
29.267 ,131.319,5.3
29.269 ,131.240,5.0
41.452 ,144.310,6.0
42.074 ,142.472,5.9
47.313 ,154.213,5.5
56.137 ,164.238,6.3
44.060 ,148.285,5.6
 6.094 ,149.020,5.1
31.437 ,140.343,5.1
37.188 ,141.188,5.3
33.304 ,141.000,5.6
 2.155 ,126.490,6.8
 2.223 ,126.430,5.0
10.274 ,161.232,6.5
44.260 ,151.021,6.3
 0.272 ,126.221,5.2
34.367 ,136.279,5.4
36.013 ,139.543,5.4
44.325 , 79.042,5.3
56.160 ,153.355,5.8
29.512 ,177.508,6.6
 2.173 ,127.584,6.1
 2.176 ,127.524,5.3
44.101 ,149.008,6.0
21.437 , 97.562,5.4
44.018 ,149.123,5.3
35.418 ,140.426,5.9
18.584 ,168.370,6.2
 4.209 ,152.473,5.4
35.547 ,140.335,5.1
27.094 ,127.269,5.2
 5.504 ,146.351,5.7
35.441 ,140.435,5.2
33.480 ,141.362,5.1
19.181 ,121.061,5.1
27.321 ,140.539,5.5
41.447 ,143.468,5.8
49.290 ,159.109,6.5
39.338 , 75.017,5.5
29.586 , 99.143,6.2
57.085 ,121.554,6.5
44.309 ,150.051,5.5
66.574 ,156.130,5.0
17.225 ,167.493,5.7
30.022 , 99.271,6.1
35.548 ,140.294,5.4
30.375 ,141.098,6.3
37.301 ,141.308,5.3
 4.176 ,101.281,5.7
 4.132 ,101.260,5.7
 4.125 ,101.235,5.6
 5.280 ,102.596,5.0
57.110 ,122.035,5.2
 4.110 ,101.232,5.6
30.041 , 99.286,6.1
30.032 , 99.295,5.9
32.229 ,137.502,5.6
40.148 ,143.596,5.1
50.083 ,105.189,5.6
30.331 ,178.243,6.6
13.439 , 66.137,5.6
43.180 ,147.474,5.6
 9.464 ,159.302,5.9
43.326 ,127.364,5.3
45.226 ,151.435,5.1
57.048 ,122.020,5.8
17.510 ,147.017,5.3
53.382 ,161.431,5.1
52.290 ,160.122,8.3
51.580 ,160.255,6.0
 3.470 ,123.127,5.1
56.094 ,164.215,6.1
56.139 ,164.129,5.4
52.142 ,159.550,5.6
52.010 ,159.573,5.6
50.143 ,157.596,5.2
30.107 , 50.570,5.7
25.034 ,130.443,5.2
 6.333 ,147.530,5.7
45.097 ,167.063,6.4
 2.526 ,142.032,5.1
36.578 ,141.575,5.2
33.280 ,136.558,5.0
19.270 ,173.520,5.5
71.254 ,  4.401,5.5
21.513 , 89.459,5.1
40.121 ,144.400,5.6
31.536 ,138.205,6.1
 1.257 ,126.256,5.0
19.217 ,155.050,6.1
45.184 ,151.222,5.6
 6.293 ,147.536,5.0
51.370 ,175.115,5.7
34.591 ,139.072,5.1
34.587 ,139.078,5.1
 1.121 ,121.319,5.1
34.597 ,139.065,5.5
44.568 ,151.284,6.0
32.046 ,140.368,5.0
18.500 ,176.438,5.5
18.482 ,176.389,5.5
18.538 ,176.491,5.4
33.227 ,140.556,5.7
52.310 , 12.568,5.6
 8.020 ,121.139,6.3
 4.300 ,138.569,5.8
11.352 ,164.404,5.5
 2.391 ,127.182,5.0
32.319 ,137.383,5.1
23.004 ,122.009,6.3
33.243 ,140.546,5.1
42.495 ,145.078,6.1
 5.542 ,124.215,5.7
 5.593 ,124.221,5.4
 0.478 ,126.526,5.6
20.300 ,174.329,5.3
18.590 ,176.393,5.9
13.335 ,177.470,6.0
11.451 , 41.562,6.3
37.167 , 21.127,5.7
11.541 , 41.493,5.6
11.520 , 41.505,6.2
41.271 ,142.061,5.1
52.365 ,168.010,5.0
36.162 ,140.565,5.3
47.300 ,148.250,5.1
54.367 ,162.507,5.3
 4.148 ,152.550,5.3
25.428 ,125.090,5.8
 4.142 ,136.381,6.1
55.337 ,156.474,6.9
 4.157 ,127.224,5.0
 0.579 ,126.023,5.5
30.109 ,178.008,5.4
51.160 ,175.484,5.2
 9.007 ,110.329,5.3
 9.029 ,110.323,5.1
51.377 ,173.200,5.1
 3.047 ,134.407,5.3
40.222 , 51.361,6.5
40.115 , 51.474,6.0
37.045 ,137.092,5.1
 5.280 ,153.370,5.5
51.102 ,178.520,5.8
31.327 ,102.278,6.1
22.363 ,122.016,5.0
33.209 ,134.545,5.2
20.173 , 98.456,5.6
20.162 , 98.509,5.5
31.071 ,131.237,5.0
46.506 ,154.004,5.0
51.169 ,179.014,6.7
51.070 ,179.103,5.9
51.072 ,179.127,5.5
51.092 ,179.169,5.3
51.447 ,171.539,5.3
34.496 ,139.300,5.9
 4.027 ,152.241,6.0
37.022 ,121.530,7.1
10.082 ,161.074,5.6
39.540 ,113.505,5.4
40.050 ,113.575,5.7
40.056 ,113.554,5.3
57.307 ,118.482,5.5
39.462 ,143.501,6.2
39.454 ,143.517,5.0
35.157 ,133.224,5.4
39.493 ,143.511,5.0
39.476 ,143.508,5.3
39.496 ,143.556,6.2
39.442 ,143.490,5.6
39.555 ,143.455,5.0
39.397 ,143.543,5.1
39.531 ,143.482,5.0
10.599 ,162.229,7.1
39.345 ,143.451,6.4
39.362 ,143.418,5.3
39.313 ,143.444,6.8
39.302 ,143.410,5.6
39.270 ,143.477,5.6
39.250 ,143.506,5.7
39.448 ,143.298,5.4
39.373 ,143.291,5.1
 9.127 ,112.024,5.2
 9.182 ,112.077,5.2
 2.301 ,128.089,5.2
39.287 ,143.346,5.5
39.515 ,143.032,7.1
39.393 ,143.217,6.1
39.297 ,144.016,5.3
35.153 ,133.221,5.5
40.020 ,142.504,5.6
39.074 ,143.228,5.7
39.192 ,143.493,5.1
39.235 ,143.498,5.3
39.395 ,143.425,5.2
39.402 ,143.141,5.1
39.233 ,143.354,6.0
39.445 ,143.510,5.1
40.037 ,143.329,5.9
39.366 ,143.201,5.4
 1.165 ,148.424,5.8
72.149 ,  0.317,5.3
72.167 ,  0.351,5.3
39.014 ,143.501,6.1
39.065 ,143.555,5.3
39.144 ,143.474,5.9
39.082 ,143.549,5.7
40.040 ,142.471,5.6
39.096 ,143.475,5.4
40.106 ,142.271,5.9
11.188 ,162.205,6.1
49.015 ,156.174,5.2
46.051 ,151.409,5.1
 9.097 ,124.457,5.5
39.323 ,143.389,5.3
17.186 ,167.477,5.5
42.504 ,145.060,5.7
44.094 ,148.060,6.1
40.105 ,142.243,5.3
39.426 ,143.381,5.3
39.525 ,143.176,5.9
 0.590 ,126.026,5.2
 2.111 ,138.512,5.9
 6.071 ,125.001,5.0
51.388 ,178.043,5.0
39.308 ,143.256,5.9
39.268 ,143.280,5.0
39.267 ,143.305,5.1
39.278 ,143.324,5.4
25.566 , 59.001,5.6
10.043 ,126.308,6.0
32.192 ,141.157,5.4
36.359 ,141.043,5.6
10.235 ,161.149,5.9
 8.236 ,126.467,7.4
 8.256 ,126.570,5.6
39.411 ,143.524,5.2
40.038 ,143.321,6.1
 8.328 , 92.125,5.3
33.147 ,142.302,5.4
39.329 ,143.398,5.7
 8.338 ,126.527,5.6
 8.122 ,126.561,5.2
44.250 ,149.572,6.7
60.034 , 73.296,6.3
41.421 , 84.001,5.9
 3.260 ,146.079,6.6
