latitude,longitude,value
43.3827,139.5916,6.0
 2.5830,118.5339,6.0
33.5347,137.1710,5.2
22.3383,121.2306,5.1
23.2678,123.3768,5.2
42.4261,142.0124,5.3
21.4242,121.5442,5.5
24.3564,122.3326,5.3
42.2130,144.5812,5.0
24.1795,122.0035,5.2
31.2905,140.5127,5.2
23.0307,171.3940,7.3
37.4373,141.4191,7.1
37.3930,141.3849,5.4
39.0514,142.2448,5.2
37.3104,141.2571,5.2
37.3118,141.2940,5.4
40.4230,142.4946,5.0
21.4717,121.3651,5.7
43.5310,147.2809,5.8
37.2872,179.2746,7.4
29.4061,177.5039,7.6
29.4337,177.1676,8.2
28.3101,176.4081,6.8
37.3458,179.3568,6.3
28.2139,177.5243,6.0
45.1971,151.3818,5.2
37.4171,141.3680,5.0
38.2808,141.3766,7.0
26.0468,125.0244,6.0
33.3910,140.2510,5.8
29.5766,177.4055,6.4
58.0083,  7.5058,6.7
29.1896,129.2542,5.3
29.1803,129.2071,5.2
38.1900,141.5181,5.7
23.4837,121.2491,5.0
23.4962,121.2922,5.3
38.1044,141.4440,6.8
25.3697,123.5125,5.5
37.4196,141.4577,6.0
 0.0818, 96.3865,6.8
42.0553,144.2812,5.8
16.3605,177.2235,6.3
36.2102,141.5174,5.2
36.2050,141.5002,5.5
27.0813,140.1124,5.5
33.1256,142.3251,5.2
34.3444,140.1363,5.0
36.2619,142.5936,5.3
40.0546,142.2571,5.0
23.5241,121.3196,5.3
22.3400,121.0010,5.1
43.2867,142.4109,5.4
30.1297,177.5069,6.4
26.5365,143.0147,5.4
46.0262,153.4255,5.3
23.5277,121.3741,5.1
23.5308,121.3677,5.2
37.1046,143.4341,5.3
45.4633,151.4348,5.3
45.3541,151.3020,5.7
23.5611,121.3782,5.2
33.1625,139.2883,5.4
33.3837,131.5135,5.2
 3.1388,146.4799,5.9
41.2874,142.0823,5.2
 0.4607,121.5450,6.0
55.2365,157.5320,8.3
 4.5489, 80.3694,6.0
43.1788,141.4620,5.0
43.5051,148.2589,5.4
36.1207,141.4836,5.0
36.1236,141.4831,5.8
36.1166,141.5451,5.2
36.0984,141.4480,5.4
24.4405,122.2080,5.9
24.4350,122.1442,5.4
23.0977,121.2456,5.3
44.0754,148.1842,5.9
55.1060,157.3865,7.3
29.4141,141.3310,5.6
36.0287,142.2791,5.2
37.3642,141.3826,5.6
48.5188,154.5468,5.6
29.4366,141.3778,5.2
36.2513,141.0572,5.1
49.3432,151.5285,5.1
48.5887,147.3842,5.8
23.5815,122.1171,5.2
29.2470,142.2131,5.4
46.3111,147.1503,5.3
29.5824,139.2723,5.0
32.2764,137.5975,5.8
36.2073,137.3748,5.1
45.4028,152.3362,6.2
29.4236,142.4701,5.3
36.4663, 73.5597,6.3
51.0497,179.0092,5.9
38.4785,135.3902,6.2
25.4347,124.5940,5.3
40.0043,142.1529,5.7
25.4212,124.5873,5.2
31.1474,131.2888,5.5
35.3545,140.0620,6.0
49.1326,150.5460,5.8
46.5636,154.2202,5.5
 8.5270,158.2785,6.2
28.3790,138.3666,5.1
41.3253,142.5436,5.3
32.1082,138.2703,5.5
24.2862,121.4366,6.3
36.2769,140.3677,5.2
 0.0271,124.1687,5.4
23.4393,126.2205,6.6
 5.1873,153.4244,6.5
23.5621,122.2632,5.0
10.4471,166.3044,6.4
22.4939, 93.3037,5.9
28.5860,142.1977,5.6
31.1756,142.2262,6.3
31.1602,142.2604,5.3
33.4809,135.0880,5.1
29.2057,129.2703,5.9
36.0807,139.5117,5.0
 7.3620,122.1364,7.4
33.0035,126.0278,5.7
25.0835,125.3791,5.9
23.5462,122.2928,5.2
