latitude,longitude,value
43.139 ,142.297,5.8
43.516 ,148.300,5.6
 6.127 ,154.269,5.7
28.478 ,177.277,6.5
51.183 ,174.361,5.0
 4.397 ,153.094,5.5
 2.168 ,140.137,5.0
35.234 ,140.246,5.2
24.447 , 70.357,6.8
18.049 ,168.054,5.9
19.541 ,133.486,6.3
19.488 ,133.544,6.4
19.529 ,133.525,6.7
19.518 ,133.592,5.0
45.005 ,153.085,6.0
26.396 ,128.117,5.4
37.175 ,141.418,5.8
 5.215 ,126.233,5.6
44.220 ,151.553,5.7
 1.146 ,145.515,5.6
52.529 ,159.547,5.2
24.463 , 70.223,6.7
24.539 , 70.298,6.1
24.388 , 91.310,5.8
 6.320 ,131.548,5.2
50.484 ,173.281,6.0
24.455 , 70.225,5.4
35.372 ,140.431,5.0
50.398 ,173.220,5.5
51.326 ,175.073,5.7
51.326 ,174.544,5.0
 3.461 ,126.407,5.2
45.191 ,152.336,6.5
20.558 , 69.480,6.3
13.251 ,124.359,7.0
37.182 , 47.581,6.7
55.057 ,167.271,6.8
 3.451 ,151.163,5.1
44.371 ,151.107,5.6
57.162 ,142.474,7.6
41.318 ,151.180,6.2
 2.109 ,125.171,5.3
51.227 ,176.542,5.5
17.211 , 74.124,5.9
10.218 , 60.349,6.4
 0.428 ,133.329,5.6
11.465 ,143.217,5.3
35.399 ,139.386,5.4
 3.431 ,146.400,6.1
 3.437 ,146.349,5.8
 9.592 ,153.506,5.2
77.373 ,125.287,6.0
52.297 ,169.178,5.0
62.098 ,124.118,5.9
19.532 ,156.254,5.1
52.204 ,168.064,5.4
30.530 , 50.118,5.6
24.545 , 70.246,5.7
49.531 , 78.573,6.1
 4.395 , 94.290,5.8
30.200 ,131.182,5.4
30.216 ,131.154,5.7
 9.250 ,112.523,5.5
13.173 ,120.222,5.5
 3.239 ,145.427,6.4
 3.227 ,145.396,6.2
10.555 ,166.512,5.7
10.492 ,166.481,5.6
17.194 , 72.239,7.0
17.200 , 72.341,6.4
17.274 , 72.266,5.3
58.274 , 24.590,6.2
39.168 ,143.444,5.6
39.172 ,143.422,5.2
39.211 ,143.444,5.2
 3.497 ,126.405,5.1
28.065 ,130.133,5.0
13.423 ,124.476,5.3
23.264 ,121.493,5.5
57.520 ,143.027,5.6
44.364 ,149.065,5.3
22.485 ,170.151,5.8
 2.441 ,140.341,5.7
44.076 ,148.358,5.3
49.507 ,115.186,5.6
11.412 ,142.453,5.2
43.145 ,147.453,5.7
43.121 ,147.490,5.6
42.292 ,143.517,6.0
14.548 ,120.083,5.8
42.158 ,143.043,5.2
29.528 ,177.534,5.0
43.294 ,147.328,5.7
13.547 ,166.141,5.8
20.320 ,173.145,5.1
 1.067 , 98.140,5.3
32.535 , 71.452,5.7
53.412 ,163.118,5.6
 6.565 , 72.122,5.2
15.108 ,173.212,6.1
10.470 ,165.113,6.4
10.538 ,165.236,5.4
10.409 ,165.110,5.5
42.563 , 77.299,5.3
26.549 ,110.565,6.9
12.154 ,121.029,6.3
12.156 ,121.050,5.2
44.314 ,148.578,5.9
38.265 , 43.048,5.0
39.169 ,143.504,5.3
45.560 ,144.206,5.6
16.100 ,177.446,5.5
 8.256 ,156.184,5.2
 8.566 ,137.540,6.3
17.393 , 71.428,5.4
 6.106 ,148.536,6.7
 6.082 ,149.007,5.0
41.443 ,144.272,6.1
41.398 ,144.269,5.2
27.154 ,176.493,5.3
19.452 ,121.549,5.0
19.576 ,122.001,5.6
37.030 ,142.215,5.5
50.301 ,129.596,5.3
37.012 , 72.553,5.1
23.525 ,121.349,5.6
48.434 , 90.304,5.8
22.085 ,174.528,6.5
 6.330 ,152.461,6.7
 6.282 ,152.592,5.5
21.589 ,174.525,5.1
 6.069 ,133.440,6.8
34.074 ,141.300,5.1
33.409 ,132.303,5.1
44.461 ,149.307,6.4
34.580 ,139.128,5.2
34.580 ,139.098,5.1
34.569 ,139.119,5.1
42.416 , 85.538,5.1
25.085 , 95.073,7.2
 7.092 ,151.010,5.6
63.312 ,  2.233,5.3
10.128 ,160.463,7.4
10.134 ,160.535,6.6
10.041 ,160.259,5.2
42.538 , 85.535,5.3
10.113 ,160.325,5.4
18.018 , 65.234,5.5
29.590 , 51.321,5.6
29.598 , 51.425,6.1
35.059 ,139.518,5.5
40.194 , 73.287,5.0
27.179 , 71.020,6.5
 7.444 ,107.115,5.8
27.007 , 70.581,5.7
60.531 , 23.220,5.4
16.302 ,167.074,5.8
26.465 , 86.365,6.6
42.527 , 85.504,5.5
 2.299 ,138.513,5.6
11.196 ,141.274,5.6
15.526 ,172.048,5.4
35.300 ,138.590,5.8
30.164 ,137.469,6.3
 1.113 ,127.007,5.0
29.560 ,138.585,5.4
42.224 ,144.531,5.2
45.429 ,152.266,6.3
 5.005 ,101.550,5.1
37.105 , 71.483,5.0
35.327 ,141.107,5.9
35.553 ,139.112,5.2
 3.319 ,150.197,6.0
 4.101 ,126.341,5.2
33.220 ,139.218,5.0
30.326 ,138.096,5.1
42.382 ,144.295,5.9
13.409 ,166.212,5.3
22.482 ,171.522,5.5
 5.529 ,103.063,5.2
43.452 ,148.167,5.6
39.297 ,142.405,5.0
61.534 ,169.365,5.5
21.495 ,121.452,5.5
37.571 , 20.538,5.8
51.148 ,159.303,5.0
51.159 ,159.266,5.1
37.020 ,141.498,5.7
49.064 ,156.096,5.6
49.051 ,156.074,5.1
49.104 ,156.164,5.7
49.064 ,156.191,5.3
57.133 , 25.070,6.1
44.197 ,148.511,5.5
34.193 , 91.530,6.3
37.054 ,136.011,5.2
20.326 ,174.529,5.9
22.008 ,170.026,5.9
21.583 ,170.015,5.4
22.485 , 99.459,7.3
22.117 ,174.567,6.8
11.230 ,122.080,5.0
43.461 ,148.119,5.6
35.322 ,141.126,5.2
 2.232 ,138.494,5.4
 3.197 ,150.290,6.6
52.070 ,171.049,5.4
12.189 ,124.328,6.6
48.074 , 71.110,5.7
22.448 , 99.501,6.0
28.115 ,141.383,5.2
19.551 ,121.531,5.5
15.179 ,173.302,6.3
29.562 , 51.386,5.6
40.598 , 44.118,6.8
71.048 ,  7.468,5.6
29.467 ,177.590,6.2
29.233 ,142.344,5.3
45.354 ,153.460,5.8
46.528 ,153.548,5.0
43.473 ,146.105,5.0
27.520 ,176.399,5.1
42.040 ,142.283,5.1
32.541 ,139.346,5.0
46.472 ,154.002,5.2
 2.520 ,141.297,5.7
10.155 ,161.351,5.1
