latitude,longitude,value
 6.2028,154.5220,5.8
54.1344,164.1062,5.3
14.3150,166.4626,5.4
41.0498,114.3000,5.7
12.0174, 72.0444,5.9
30.5910, 71.2460,6.2
15.5088,179.2256,6.7
55.3102, 28.1194,5.1
 4.0594,129.0690,5.5
35.3699,140.1397,5.0
15.4386,179.1974,6.5
 5.5220,146.2352,5.5
 6.0864,133.2982,5.0
45.3800,152.3201,5.8
43.3622,146.5385,5.8
52.2274,168.3858,5.5
55.0450,164.4086,5.1
12.0006,143.3708,5.0
23.5478, 70.1242,6.5
41.2777,142.0463,5.3
28.0651,139.5883,5.4
37.0450, 70.0534,6.1
43.1159,145.4820,5.2
44.1722,149.4197,5.2
24.5242,142.0452,6.4
24.5371,142.0530,7.1
14.3186,177.5052,5.0
52.4308, 33.4062,6.6
10.5838, 74.2634,5.4
 4.2856,129.0492,6.4
36.2874, 71.0516,5.7
51.4290,176.4980,5.0
 2.4692,140.5244,5.1
33.3181,138.2615,5.4
 7.5070,158.2640,5.1
 7.3720,158.0960,5.1
53.1224,159.5322,5.0
37.4262,142.1335,5.5
30.0924, 57.3630,6.9
22.5496,175.2250,5.2
11.3384,141.4992,5.1
39.5862, 76.4386,5.6
50.0048,163.0642,6.1
79.5328,  1.5136,6.1
11.2580, 66.1470,6.1
36.2214,141.1092,5.2
62.5262,149.3162,8.0
 3.1452,140.3636,5.6
 0.3264, 99.1566,6.9
40.1896, 74.5244,6.0
 8.0888, 74.1428,5.6
42.4805,144.5941,5.2
36.5671,141.0103,5.4
12.1470, 67.5076,5.4
32.2742, 59.5856,5.7
33.3276,179.3258,5.9
23.3810,176.0666,6.1
23.4308,176.0246,5.3
15.3150, 71.4926,5.4
58.3012,164.2700,5.5
43.2072,146.4954,5.4
14.5430,166.5886,5.5
36.0828, 21.5640,5.3
30.4972,142.1344,5.4
18.4296,120.5628,5.3
30.5197,142.0448,5.1
22.3594,125.2186,5.0
 5.0936,152.3492,5.5
45.0792,150.3704,6.1
29.2347,142.2705,5.2
40.1660,143.2565,5.7
40.1583,143.2702,6.1
20.0714,169.1656,5.2
12.1236,143.5052,5.0
16.5610,173.5100,5.0
22.3692,125.4123,5.3
38.3358,142.0268,5.4
 0.1242,119.3504,6.3
17.4386, 65.2586,6.6
17.5922, 65.0846,5.6
33.4225,131.5053,5.2
 6.3078,104.5436,5.1
22.2162,125.3302,5.0
50.2772,139.2934,5.4
 5.5070,149.4224,5.8
52.0924,159.3846,5.4
31.2406, 27.4002,5.0
37.2328, 78.5058,5.6
 2.1146, 99.3798,5.1
17.4476, 65.1638,5.1
41.1038, 75.3930,5.0
37.0636, 70.0660,6.9
39.1008,143.1582,5.6
52.5334,160.0402,6.3
34.0186,136.1379,5.5
35.2787,140.4494,5.0
11.3432, 13.5364,6.1
28.1611,129.2877,5.2
12.2184,144.2670,5.5
36.5268, 35.1842,6.2
33.5052,179.1158,5.1
30.2922,178.5964,6.2
12.0276,143.1416,5.2
11.0240,166.0960,6.7
18.1806,168.1236,5.1
23.1872,120.2812,5.2
 2.5766,141.5556,7.1
 4.4122,103.0390,5.1
18.2214,168.1038,6.0
30.0804, 88.1038,5.4
30.2300,138.5855,5.3
21.3895,121.5693,5.1
13.3648,166.5202,6.0
 2.4158,138.5406,6.7
21.3684,169.4920,5.9
21.3864,169.5514,5.3
 0.3558, 80.2358,7.1
29.1974, 68.4440,5.3
 7.1944, 94.1830,5.8
25.0481,123.1381,5.3
11.2580,166.1296,5.4
37.1505,141.4551,5.4
45.0788,149.2003,5.2
 6.1074,147.4470,5.2
28.5344,139.5474,6.0
51.3708,175.1488,6.0
 3.0372,142.0216,5.4
18.3930,146.2568,5.1
11.3978, 88.0228,6.3
30.0474, 88.0654,5.5
39.3960, 77.2058,6.4
17.0552,148.0798,6.1
50.5460,130.3960,6.0
53.4014,161.5202,5.2
 5.2460,126.4584,6.7
29.2700, 71.4290,6.6
 6.3876,155.1254,5.7
40.0210, 15.5880,5.2
 4.2658,151.1218,5.1
24.2200,122.5812,5.7
51.3708,173.0900,6.0
13.3438,166.4746,6.3
11.4932,143.0924,5.8
46.1878,106.1728,5.3
 3.5040,126.2442,5.9
17.1212,167.4992,5.6
28.3587,127.3237,6.1
37.1482, 21.0642,5.2
11.1926, 86.2706,5.7
33.3108, 72.0468,5.2
 0.2304,119.5154,5.5
 0.2418,119.5040,5.6
40.0565,143.2700,5.9
 5.5490,151.0216,5.7
53.3810,163.0888,5.0
17.1650,167.4578,5.6
 3.3312,123.0984,5.0
 0.5034,125.5796,6.2
 6.1326, 98.4788,5.2
19.1500,177.4746,5.3
43.2828,147.3309,5.8
12.5202,125.0216,5.4
30.2310,177.3648,5.3
 9.0810,121.2526,5.9
56.4386,152.0390,5.0
 6.5520,128.5676,7.0
 7.0108,128.3954,5.1
11.4254,143.1488,5.1
22.2680,120.5383,5.5
 3.1890,130.4596,5.7
27.1848,101.0174,5.6
22.5110,125.4515,6.4
 1.4086,126.3258,5.1
38.0093,141.3304,5.3
16.0000,172.4218,5.4
 7.5154,158.3732,6.0
31.5100,141.0984,5.4
29.1428,177.0720,5.4
28.5868,177.0156,5.2
 2.0426,124.5346,7.7
 5.5250,151.1572,5.6
20.0540,120.5418,5.2
52.0726,169.2472,5.5
 1.1518,126.1188,6.2
 8.2064,121.2700,5.4
30.5848,138.0266,5.1
 1.0720,126.1050,5.8
36.0342,141.2298,5.0
 4.4590,101.5790,5.0
 1.2184,123.3864,5.6
