latitude,longitude,value
48.442 ,129.124,6.0
14.062 ,146.381,5.1
45.455 ,151.410,5.7
 9.160 , 86.590,5.0
41.296 ,141.564,5.1
27.521 ,139.443,6.2
38.247 ,140.322,5.5
38.201 , 20.191,5.2
 9.241 ,148.477,5.0
31.437 ,129.552,5.2
35.138 ,139.473,5.5
51.400 ,139.295,6.3
45.220 ,151.216,5.9
45.110 ,151.190,5.7
52.127 ,170.139,5.5
 5.461 ,103.090,6.4
 5.408 ,103.134,5.4
 5.481 ,103.059,5.0
31.026 ,139.412,5.2
 9.274 ,124.403,5.3
15.557 ,166.181,6.8
53.335 ,165.439,5.7
 4.197 ,146.226,5.2
79.103 ,124.324,5.5
33.413 ,141.075,5.2
12.547 ,145.157,5.6
 6.146 ,147.403,5.8
12.169 ,141.132,5.3
52.530 ,159.598,6.8
44.262 ,149.222,5.7
44.400 ,149.373,5.8
 3.026 ,147.496,6.6
52.542 ,159.424,6.1
 3.285 ,146.121,6.2
40.137 ,124.174,5.5
34.067 ,139.034,5.1
 3.271 ,146.436,6.1
39.424 , 39.342,6.8
 9.121 ,152.246,6.1
39.319 , 39.529,5.8
17.094 ,120.496,6.0
51.143 ,179.419,5.6
47.340 ,148.160,5.5
27.261 ,142.430,5.0
42.560 ,171.104,5.3
42.513 ,145.149,5.7
 5.387 ,151.063,6.6
32.172 ,141.125,5.2
35.422 , 80.424,5.4
11.450 ,166.083,6.0
50.401 ,130.152,6.8
 1.473 , 97.471,5.9
16.384 ,167.560,6.0
16.495 ,168.115,5.6
29.254 ,131.284,5.3
39.073 ,142.235,5.6
36.107 ,139.498,5.1
40.076 ,142.452,5.0
 5.243 ,103.045,6.4
23.415 ,121.198,5.1
42.154 ,143.041,5.1
22.095 ,170.232,5.4
33.566 ,116.199,6.3
29.276 ,131.170,5.2
22.205 , 98.507,6.1
22.218 , 98.514,6.3
45.220 ,152.133,5.7
27.331 , 66.034,6.0
 8.245 ,140.590,5.2
40.221 ,124.190,7.1
40.249 ,124.362,6.6
40.227 ,124.345,6.7
10.394 ,165.563,5.7
35.042 , 26.425,5.7
41.091 ,144.564,5.9
 6.397 ,124.463,5.0
37.116 , 72.562,5.7
36.320 ,140.322,5.6
16.272 ,172.251,6.8
 6.038 ,147.353,7.1
41.002 , 72.245,6.2
 7.156 ,126.452,7.1
 7.101 ,126.517,7.5
 6.567 ,127.042,5.1
 6.275 ,153.137,5.3
33.365 , 72.015,5.8
28.188 , 55.331,5.0
 9.260 ,159.180,5.6
36.069 ,135.567,5.0
33.194 , 71.163,6.0
41.354 , 88.482,5.0
