latitude,longitude,value
34.110 ,135.329,5.5
34.096 ,135.333,5.6
45.383 ,143.190,5.2
32.087 ,132.083,5.3
44.141 ,149.304,5.7
 3.472 ,141.446,5.8
29.245 , 70.424,5.8
 7.314 ,130.098,5.3
44.258 ,146.360,5.1
32.362 ,131.178,5.4
43.445 ,147.184,5.6
20.279 ,174.123,5.8
44.107 ,149.243,5.0
40.026 ,142.431,5.4
47.043 ,146.166,5.2
35.505 ,137.346,5.0
27.212 ,128.423,5.3
29.028 ,130.344,5.1
28.253 ,130.582,5.3
 2.073 ,119.379,6.3
30.370 ,132.338,5.2
 1.587 ,119.422,6.6
33.093 , 71.588,7.8
33.501 , 71.190,6.1
55.149 ,162.000,5.4
43.239 ,145.534,5.2
 2.027 ,128.515,5.3
43.308 ,127.301,6.3
32.395 , 71.337,6.6
40.307 ,144.031,5.1
 7.428 ,123.343,6.5
33.170 , 71.454,6.7
34.206 , 72.169,6.5
43.588 ,146.418,6.2
38.526 ,140.435,5.3
40.179 ,140.350,6.4
51.526 ,158.459,5.2
32.373 , 71.367,6.1
33.316 ,131.346,5.2
 5.451 ,154.066,5.6
 4.057 ,136.189,5.9
34.101 , 71.326,7.2
34.118 ,140.473,5.1
29.580 ,139.169,5.8
49.572 ,159.252,5.0
35.292 ,179.009,5.1
11.175 ,165.403,5.9
 9.142 ,114.090,5.2
 1.397 ,126.343,6.8
40.083 ,142.263,5.4
52.081 ,159.446,5.4
25.539 ,102.522,5.8
37.249 ,142.459,5.3
29.415 ,138.050,5.5
 8.524 ,111.149,5.0
16.288 ,120.499,6.0
37.170 ,142.133,5.5
41.278 ,142.029,6.0
48.522 ,156.215,6.4
30.530 , 70.147,5.4
37.295 ,179.212,6.1
 2.205 ,126.452,5.4
51.268 ,177.578,6.0
51.192 ,178.022,6.0
 5.345 ,151.046,7.1
 5.399 ,150.542,5.8
37.063 ,141.354,5.6
42.141 ,143.049,5.1
16.282 ,120.389,5.4
32.599 ,132.350,5.8
56.369 , 25.217,6.4
30.142 , 71.167,6.0
51.249 ,178.248,5.8
29.584 ,178.356,5.7
12.153 ,144.168,6.0
12.104 ,144.229,5.4
52.237 ,160.439,5.3
46.469 ,147.275,5.2
52.275 ,160.317,5.1
15.149 ,173.333,6.8
 4.553 ,127.302,6.0
29.047 ,140.179,5.3
 0.056 ,123.452,5.1
30.158 ,132.416,5.9
10.583 ,163.248,6.5
10.497 ,163.403,6.0
20.336 ,122.022,5.2
35.227 ,133.366,5.0
40.374 ,144.002,5.4
 4.278 ,152.494,7.2
27.174 ,140.203,5.5
17.151 ,167.504,6.4
 4.139 ,152.372,5.3
46.274 ,144.585,5.0
29.448 ,177.509,5.9
 4.155 ,152.525,5.6
51.379 ,172.562,5.9
52.101 ,159.035,5.2
 6.176 ,148.436,5.1
 6.169 ,148.435,6.9
45.096 ,150.339,5.6
11.191 ,166.173,5.2
37.187 ,140.411,5.1
56.093 ,164.335,5.0
52.236 ,173.298,5.0
 7.267 ,123.278,6.2
36.230 ,141.052,5.0
16.533 ,120.134,6.1
 4.195 ,152.528,5.5
11.094 ,140.124,6.1
54.061 ,168.413,5.8
37.423 ,141.535,6.4
 2.275 ,125.544,5.0
15.596 ,179.086,5.5
39.254 , 75.164,7.6
36.045 ,142.397,5.2
17.273 ,173.234,5.3
40.103 ,142.437,5.5
28.142 ,140.383,5.0
37.368 ,142.445,5.2
 3.072 ,130.233,5.6
 6.270 ,149.533,6.3
27.106 ,140.135,5.8
 6.247 ,150.069,5.1
39.197 , 75.250,6.6
 4.102 ,136.064,6.3
18.109 ,102.344,8.1
 4.076 ,136.183,5.2
34.162 ,178.416,6.9
 9.483 ,159.506,6.9
21.566 ,174.482,6.2
52.200 ,168.483,5.3
35.109 ,135.515,5.2
34.484 ,140.589,5.3
27.338 ,140.174,5.8
35.523 ,140.093,5.9
62.154 ,124.187,6.6
54.481 ,159.344,6.5
42.148 ,143.089,5.5
36.404 ,141.189,5.1
40.190 , 69.504,5.9
37.398 ,136.556,5.8
45.442 ,146.357,6.1
43.423 ,147.540,5.5
11.090 ,125.070,5.3
52.050 ,171.191,5.6
 3.444 ,151.408,5.2
 7.160 ,130.463,5.1
36.432 , 54.483,5.9
 9.338 ,150.595,6.7
51.464 ,175.332,5.4
53.155 ,166.544,5.7
35.215 ,140.142,5.0
35.119 ,179.214,6.4
 7.437 ,137.043,5.7
 9.525 ,123.421,5.4
33.087 ,140.431,5.2
54.462 ,159.452,5.7
 1.355 ,135.007,7.1
 1.401 ,134.233,5.5
41.432 , 19.192,5.3
 5.588 ,149.312,6.0
35.369 ,135.448,5.2
14.007 ,166.141,7.0
13.574 ,166.102,7.1
13.505 ,166.125,5.8
27.547 ,129.385,5.1
41.079 ,139.553,5.6
27.035 ,140.466,6.1
 1.389 ,134.532,5.7
43.545 ,146.486,5.1
 3.391 ,126.419,6.0
14.092 ,166.214,6.7
14.021 ,166.305,7.3
14.021 ,166.305,7.3
14.113 ,166.427,6.5
14.289 ,166.473,5.8
62.124 ,124.181,6.9
 5.470 ,104.125,6.6
13.111 ,166.339,6.2
 5.527 ,104.215,6.0
