latitude,longitude,value
34.0127,136.2836,5.0
19.2240,176.0311,6.6
36.5170,140.5870,5.1
37.0739,141.2153,5.3
 4.2869,122.3703,6.5
10.0679,161.0163,6.4
41.4104,133.3019,5.3
10.2104,161.2013,6.5
40.0997,142.2733,5.1
25.1147, 63.1586,6.4
 9.5443,125.2710,6.4
22.4566,120.1365,5.7
37.1065,141.4318,5.2
24.3707,142.1039,5.7
35.4389,140.3989,5.4
37.3086,141.2201,5.7
22.0681,143.0012,5.1
32.3877,132.0790,5.2
 5.5967,149.2171,6.2
41.2890,141.5873,5.7
30.5936,130.2518,5.3
37.3075,141.3251,5.3
 6.0874, 92.1826,5.8
 8.0818,160.4522,5.9
26.5012,127.1198,5.1
52.4552,172.1570,6.0
42.0046,138.4218,5.1
56.5641,162.4717,6.6
45.2294,150.5875,5.2
35.4653, 60.2618,6.0
38.3610,133.5284,5.1
43.5937,148.2826,5.2
46.1849,142.1218,5.1
 5.3026,125.0395,6.8
30.4668,131.2898,5.8
21.2607,121.4288,5.2
42.1938,143.0426,5.4
51.4406,178.3525,6.2
24.2262,126.1957,6.1
25.5113,124.5840,5.2
56.2484, 25.4459,6.5
27.1550,130.0452,5.5
 4.0132,152.2869,6.1
23.1846,121.3365,5.3
43.3884,147.3797,5.5
 1.1754,120.2588,6.4
24.2287,126.1392,5.1
24.1517,126.1613,5.1
54.0187,170.5518,6.9
24.2903,143.0991,5.8
38.5578, 26.2190,6.3
30.3094,178.0338,5.6
45.0103,149.4143,6.2
13.4304, 90.5831,6.6
46.0895,152.2585,5.0
35.5208,137.3519,5.2
43.3376,147.4997,5.5
25.4129,125.1152,5.2
42.4726,141.5154,5.0
11.0761,124.3772,6.6
31.2304,130.3720,5.2
49.2902,164.0094,6.6
40.5180,131.5539,5.8
 4.4672,153.1265,6.6
54.3481,168.3890,6.3
54.2660,168.5142,7.7
16.2497, 73.3814,6.2
37.2048,141.3526,5.8
40.0738,143.1242,5.1
40.0729,143.2247,5.6
26.5545,130.1104,5.9
29.1576,142.3259,5.2
36.1359,143.3361,5.3
45.2274,151.0672,5.6
36.4821,140.3211,5.1
24.3316,123.3466,5.2
26.2950,127.0041,5.0
33.1156,103.5131,6.8
35.4781,140.0547,5.1
29.5738,131.1566,5.2
 3.4609,101.3737,6.5
28.3944,127.5592,5.7
 1.2715,148.0480,6.2
 1.0954, 99.4129,6.2
45.0729,152.4964,5.1
21.3889,143.0577,5.4
27.4825,140.0773,6.1
15.0133, 93.5396,8.3
39.3007,140.2516,5.0
41.4555,142.5267,5.6
24.1815,142.3066,5.7
37.1660,141.3914,5.2
23.1899,121.4609,5.5
38.0216,144.2932,6.2
31.4722,141.0509,5.8
40.1600,142.2732,5.9
28.5165,141.0867,5.5
37.2612,143.5690,6.2
37.0525,141.0934,5.7
54.1579,  8.3652,6.5
36.4121,142.0844,5.1
20.3548,173.4813,6.3
28.1960,131.1662,5.9
45.0023,149.2781,5.8
86.5537, 55.1201,5.7
24.0311,122.1756,5.1
21.4183,169.0891,6.6
 3.4469,127.4510,5.9
21.4367,168.5605,5.9
21.3890,168.5151,6.4
21.4840,168.5891,5.6
42.3380,143.4491,5.0
15.1918,173.1009,6.9
32.3843,141.2812,5.9
32.3556,141.2694,5.4
34.5465, 45.5755,7.3
38.0037,144.4835,5.9
36.1175,129.2365,5.5
32.2112,140.4472,5.8
21.3826,168.4037,6.2
21.3016,168.3590,6.4
21.1948,168.4029,6.8
21.2909,168.4853,6.0
23.3581,120.4201,5.3
27.1103,130.2214,5.4
45.1015,146.1737,5.4
 6.0808,147.3938,5.9
 0.2820, 80.1861,5.9
36.2263,137.5835,5.0
10.0557,140.1210,6.0
39.4117,142.0569,5.5
30.3656,132.0432,5.5
29.1771,142.2762,5.2
29.1855,142.4309,5.7
29.2190,142.3472,5.0
