latitude,longitude,value,damage
41.4557,142.5245,5, 
34.5760,139.0947,5,2
34.5771,139.0930,5,2
34.5819,139.0883,5,2
34.5569,137.3151,5.5,2
31.5837,130.2154,5.5,3
31.5822,130.1932,5.5,2
31.5821,130.2422,5,2
31.5690,130.1816,6,3
34.2649,131.3997,5.5,2
