latitude,longitude,value,damage
37.0358,141.1145,5, 
35.2935,138.5862,5,1
37.5192,138.1025,5.5,1
36.4505,140.3532,5, 
36.2636,140.3754,5,1
36.4306,140.3675,5, 
35.4486,140.5592,5.5,2
39.4838,142.2003,5,1
37.0461,141.0799,5, 
35.4297,140.3604,5, 
41.2062,142.0742,5.5,1
36.4989,138.2330,5,2
42.1967,143.0664,5, 
38.2449,141.5485,5.5,1
38.1736,141.5157,5, 
38.0119,143.5202,5,1
