latitude,longitude,value,damage
37.1678,136.4947,5.5,1
35.3320,141.0677,5,2
36.0692,136.1136,5,1
36.3546,141.0609,5, 
40.0567,142.0652,5, 
34.2928,139.1821,5, 
40.4691,142.4151,5,1
