latitude,longitude,value,damage
24.1491,123.4925,5, 
35.1108,132.3520,5.5,3
43.1055,145.4427,5, 
36.3795,137.5406,5, 
36.5645,138.3538,5.5, 
36.2734,139.1030,5,2
34.5066,135.3730,6,3
35.0992,140.3552,5, 
42.4145,142.0040,7,4
42.4097,142.0071,5, 
42.3556,141.5790,5, 
