latitude,longitude,value,damage
33.4150,131.5348,5.5,2
34.5719,139.2886,5, 
39.4055,142.0816,5, 
42.3899,141.1602,5, 
41.0804,142.1674,5, 
36.5242,139.3135,5, 
36.0562,139.5184,5,2
36.4157,137.5346,6,3
36.4677,137.5461,5, 
