latitude,longitude,value,damage
33.4402,134.2222,5.5,1
40.0512,142.0672,5.5, 
38.5177,142.0901,5.5,2
28.3374,129.3721,5, 
36.0326,139.3832,5,1
27.5165,140.4095,5.5,1
43.2953,144.0362,5, 
40.2124,141.3359,5,1
32.5956,131.5131,5.5,2
35.3327,139.4975,5,1
