latitude,longitude,value,damage
37.1913,136.4640,5, 
36.1369,141.3646,5,1
39.0179,140.5284,6.5,4
38.5318,140.4038,5, 
36.3856,140.5712,5,2
27.2790,128.3283,5,2
39.4392,141.3812,6,3
41.4653,144.0909,5, 
